program;protocol;partysize;latencies(ms);bandwidths(Mbs);input_size;runtime_internal(ms);runtime_external(s);peakRAM(MiB);jobCPU(%);ALLdataSent(MB),AllDataRec(MB);ALLmessagesSent,AllMessagesRec;multTripPresetup;multTripSetup;sharedPowerPresetup;sharedPowerSetup;sharedBitPresetup;sharedBitSetup;baseOT;otExtension;kk13OtExtension;preprocessingTime;gatesSetup;gatesOnline
aes;boolean_gmw;3;1;25000;1;0.958;34.359;0.000;0.000;0.000;0.000;0.000;Setup;Extension;116.558;8.414;2476.504
aes;boolean_gmw;3;1;25000;128;57.228;95.289;0.000;0.000;0.000;0.000;0.000;Setup;Extension;439.996;7.328;1769.646
aes;boolean_gmw;3;1;25000;256;103.349;193.860;0.000;0.000;0.000;0.000;0.000;Setup;Extension;751.787;8.433;2707.443
aes;boolean_gmw;3;1;25000;512;227.835;387.293;0.000;0.000;0.000;0.000;0.000;Setup;Extension;1435.476;5.252;2667.743
aes;boolean_gmw;3;1;10000;1;0.438;1.241;0.000;0.000;0.000;0.000;0.000;Setup;Extension;86.211;5.645;2632.526
aes;boolean_gmw;3;1;10000;128;54.780;96.095;0.000;0.000;0.000;0.000;0.000;Setup;Extension;448.672;8.532;1606.859
aes;boolean_gmw;3;1;10000;256;99.040;190.300;0.000;0.000;0.000;0.000;0.000;Setup;Extension;765.258;6.456;1685.481
aes;boolean_gmw;3;1;10000;512;223.441;374.594;0.000;0.000;0.000;0.000;0.000;Setup;Extension;1411.418;6.189;2593.359
aes;boolean_gmw;3;1;1000;1;0.436;0.823;0.000;0.000;0.000;0.000;0.000;Setup;Extension;78.578;5.399;3509.721
aes;boolean_gmw;3;1;1000;128;57.310;98.310;0.000;0.000;0.000;0.000;0.000;Setup;Extension;504.066;6.053;2356.734
aes;boolean_gmw;3;1;1000;256;112.344;188.719;0.000;0.000;0.000;0.000;0.000;Setup;Extension;931.235;5.142;2173.331
aes;boolean_gmw;3;1;1000;512;209.830;382.460;0.000;0.000;0.000;0.000;0.000;Setup;Extension;1740.297;5.425;2140.299
aes;boolean_gmw;3;1;100;1;0.440;77.827;0.000;0.000;0.000;0.000;0.000;Setup;Extension;155.123;5.406;1626.216
aes;boolean_gmw;3;1;100;128;57.343;97.114;0.000;0.000;0.000;0.000;0.000;Setup;Extension;1475.642;5.986;1572.440
aes;boolean_gmw;3;1;100;256;94.226;194.463;0.000;0.000;0.000;0.000;0.000;Setup;Extension;2819.804;8.327;1296.055
aes;boolean_gmw;3;1;100;512;145.092;380.242;0.000;0.000;0.000;0.000;0.000;Setup;Extension;5502.224;8.384;995.845
aes;boolean_gmw;3;30;25000;1;0.432;69.047;0.000;0.000;0.000;0.000;0.000;Setup;Extension;147.360;5.216;1797.677
aes;boolean_gmw;3;30;25000;128;56.827;95.669;0.000;0.000;0.000;0.000;0.000;Setup;Extension;465.026;5.446;1109.764
aes;boolean_gmw;3;30;25000;256;104.411;190.044;0.000;0.000;0.000;0.000;0.000;Setup;Extension;769.495;5.812;1746.008
aes;boolean_gmw;3;30;25000;512;194.850;387.196;0.000;0.000;0.000;0.000;0.000;Setup;Extension;1458.940;6.002;1404.666
aes;boolean_gmw;3;30;10000;1;0.437;42.508;0.000;0.000;0.000;0.000;0.000;Setup;Extension;119.492;8.376;2354.741
aes;boolean_gmw;3;30;10000;128;54.703;95.918;0.000;0.000;0.000;0.000;0.000;Setup;Extension;449.434;6.287;2069.160
aes;boolean_gmw;3;30;10000;256;91.825;190.408;0.000;0.000;0.000;0.000;0.000;Setup;Extension;765.222;5.840;1428.692
aes;boolean_gmw;3;30;10000;512;222.045;388.434;0.000;0.000;0.000;0.000;0.000;Setup;Extension;1509.234;6.148;2027.643
aes;boolean_gmw;3;30;1000;1;0.437;1.063;0.000;0.000;0.000;0.000;0.000;Setup;Extension;82.452;8.349;1756.647
aes;boolean_gmw;3;30;1000;128;56.961;96.706;0.000;0.000;0.000;0.000;0.000;Setup;Extension;515.913;8.480;2595.995
aes;boolean_gmw;3;30;1000;256;101.995;194.397;0.000;0.000;0.000;0.000;0.000;Setup;Extension;906.794;5.452;1709.817
aes;boolean_gmw;3;30;1000;512;199.296;380.029;0.000;0.000;0.000;0.000;0.000;Setup;Extension;1714.339;5.797;1588.377
aes;boolean_gmw;3;30;100;1;0.438;1.655;0.000;0.000;0.000;0.000;0.000;Setup;Extension;83.135;5.436;2453.166
aes;boolean_gmw;3;30;100;128;55.784;96.449;0.000;0.000;0.000;0.000;0.000;Setup;Extension;1479.561;5.677;2360.249
aes;boolean_gmw;3;30;100;256;101.701;193.429;0.000;0.000;0.000;0.000;0.000;Setup;Extension;2820.805;6.094;1257.605
aes;boolean_gmw;3;30;100;512;151.567;382.242;0.000;0.000;0.000;0.000;0.000;Setup;Extension;5515.645;8.484;2084.626
aes;boolean_gmw;3;100;25000;1;0.433;75.618;0.000;0.000;0.000;0.000;0.000;Setup;Extension;154.269;5.026;2300.274
aes;boolean_gmw;3;100;25000;128;53.441;94.048;0.000;0.000;0.000;0.000;0.000;Setup;Extension;449.464;4.647;1251.390
aes;boolean_gmw;3;100;25000;256;108.860;192.006;0.000;0.000;0.000;0.000;0.000;Setup;Extension;808.615;8.331;1404.812
aes;boolean_gmw;3;100;25000;512;164.185;381.324;0.000;0.000;0.000;0.000;0.000;Setup;Extension;1426.758;6.309;1528.244
aes;boolean_gmw;3;100;10000;1;0.444;1.387;0.000;0.000;0.000;0.000;0.000;Setup;Extension;144.750;8.523;2548.568
