program                    partysize  latencies(ms)  bandwidths(Mbs)  input_size  packetdrops(%)  runtime_internal(s)  Bytes Send  runtimeExternal(s)  RAMused(MB)  System Time (s)
Benchmarks/multiplication  3          50             10000            1000000     1               0:00:11.153          19999227    15.61               372668       4.85
Benchmarks/multiplication  3          50             10000            1000000     2               0:00:07.672          19999257    9.20                380700       4.62
Benchmarks/multiplication  3          50             10000            1000000     5               0:00:26.014          19999353    26.52               374628       4.84
Benchmarks/multiplication  3          50             10000            1000000     10              0:00:48.981          19999088    49.36               374560       4.89
Benchmarks/multiplication  3          50             1000             1000000     0               0:00:04.254          19999275    4.64                370472       4.71
Benchmarks/multiplication  3          50             1000             1000000     1               0:00:10.135          19999019    10.53               360760       4.70
Benchmarks/multiplication  3          50             1000             1000000     2               0:00:14.657          19999220    16.05               386740       4.74
Benchmarks/multiplication  3          50             1000             1000000     5               0:00:25.396          19999081    25.80               382836       4.96
Benchmarks/multiplication  3          50             1000             1000000     10              0:00:54.283          19999194    54.64               374696       4.84
Benchmarks/multiplication  3          50             100              1000000     0               0:00:04.163          19999362    6.22                376656       4.75
Benchmarks/multiplication  3          50             100              1000000     1               0:00:10.846          19999253    11.24               372632       4.74
Benchmarks/multiplication  3          50             100              1000000     2               0:00:14.576          19999253    15.04               368708       4.82
Benchmarks/multiplication  3          50             100              1000000     5               0:00:24.803          19999298    26.55               370480       4.78
Benchmarks/multiplication  3          50             100              1000000     10              0:00:44.438          19999422    46.40               364488       4.79
Benchmarks/multiplication  3          75             25000            1000000     0               0:00:04.287          19999204    4.93                368380       4.84
Benchmarks/multiplication  3          75             25000            1000000     1               0:00:15.632          19999148    18.80               364444       4.74
Benchmarks/multiplication  3          75             25000            1000000     2               0:00:14.964          19999261    18.29               378536       4.55
Benchmarks/multiplication  3          75             25000            1000000     5               0:00:32.567          19999203    33.21               376708       4.85
Benchmarks/multiplication  3          75             25000            1000000     10              0:01:06.269          19999439    66.92               368304       4.76
Benchmarks/multiplication  3          75             10000            1000000     0               0:00:04.229          19999152    5.24                378616       4.74
Benchmarks/multiplication  3          75             10000            1000000     1               0:00:11.193          19999128    11.70               364400       4.65
Benchmarks/multiplication  3          75             10000            1000000     2               0:00:22.381          19999205    22.88               360432       4.90
Benchmarks/multiplication  3          75             10000            1000000     5               0:00:33.126          19999138    33.79               378716       4.64
Benchmarks/multiplication  3          75             10000            1000000     10              0:01:05.481          19999354    66.01               372576       4.85
Benchmarks/multiplication  3          75             1000             1000000     0               0:00:04.879          19999134    5.35                378568       4.57
Benchmarks/multiplication  3          75             1000             1000000     1               0:00:09.473          19999203    10.00               368580       4.79
Benchmarks/multiplication  3          75             1000             1000000     2               0:00:24.048          19999203    24.54               364564       4.82
Benchmarks/multiplication  3          75             1000             1000000     5               0:00:36.692          19999293    37.17               372676       4.80
Benchmarks/multiplication  3          75             1000             1000000     10              0:01:17.109          19999391    77.76               366504       4.86
Benchmarks/multiplication  3          75             100              1000000     0               0:00:05.138          19999215    5.80                393136       4.65
Benchmarks/multiplication  3          75             100              1000000     1               0:00:16.810          19999113    17.45               360224       4.83
Benchmarks/multiplication  3          75             100              1000000     2               0:00:19.424          19999372    19.92               364572       4.74
Benchmarks/multiplication  3          75             100              1000000     5               0:00:37.760          19999255    39.29               368576       4.74
Benchmarks/multiplication  3          75             100              1000000     10              0:00:56.188          19999315    61.94               383032       4.74
