program                       partysize  latencies(ms)  bandwidths(Mbs)  input_size  runtime_internal(s)  Bytes Send  runtimeExternal(s)  RAMused(MB)  System Time (s)
UseCases/privateSetIntersect  3          1              25000            50          0:00:02.739          1978506     3.00                141556       4.01
UseCases/privateSetIntersect  3          1              25000            100         0:00:08.680          5548450     8.87                235156       4.41
UseCases/privateSetIntersect  3          1              25000            1000        0:07:36.296          211124142   456.61              9598812      14.80
UseCases/privateSetIntersect  3          1              10000            50          0:00:02.838          1975422     3.12                106556       4.11
UseCases/privateSetIntersect  3          1              10000            100         0:00:08.660          5540986     8.85                245172       4.36
UseCases/privateSetIntersect  3          1              10000            1000        0:07:45.891          211154652   466.11              9579472      14.52
UseCases/privateSetIntersect  3          1              1000             50          0:00:02.915          1974518     3.19                114620       4.31
UseCases/privateSetIntersect  3          1              1000             100         0:00:08.332          5552148     8.52                253248       4.50
UseCases/privateSetIntersect  3          1              1000             1000        0:07:34.972          211140564   455.29              9698936      14.71
UseCases/privateSetIntersect  3          1              100              50          0:00:02.833          1972230     3.02                118568       4.23
UseCases/privateSetIntersect  3          1              100              100         0:00:09.074          5544912     9.35                251172       4.40
UseCases/privateSetIntersect  3          1              100              1000        0:07:39.541          211136488   459.85              9801072      14.28
UseCases/privateSetIntersect  3          30             25000            50          0:00:02.739          1975138     3.02                112716       4.13
UseCases/privateSetIntersect  3          30             25000            100         0:00:08.676          5543676     8.92                238956       4.45
UseCases/privateSetIntersect  3          30             25000            1000        0:07:42.139          211164472   462.37              9543200      14.43
UseCases/privateSetIntersect  3          30             10000            50          0:00:02.756          1976178     3.04                108392       4.21
UseCases/privateSetIntersect  3          30             10000            100         0:00:09.194          5549790     9.49                263316       4.38
UseCases/privateSetIntersect  3          30             10000            1000        0:07:36.785          211158574   457.12              9580440      14.44
UseCases/privateSetIntersect  3          30             1000             50          0:00:02.594          1975070     2.78                110768       4.17
UseCases/privateSetIntersect  3          30             1000             100         0:00:08.716          5550978     8.91                234864       4.41
UseCases/privateSetIntersect  3          30             1000             1000        0:07:29.828          211141372   450.10              9565660      14.40
UseCases/privateSetIntersect  3          30             100              50          0:00:02.704          1975872     2.98                114344       4.20
UseCases/privateSetIntersect  3          30             100              100         0:00:08.624          5543722     8.90                246840       4.49
UseCases/privateSetIntersect  3          30             100              1000        0:07:34.504          211129014   454.82              9544524      15.22
UseCases/privateSetIntersect  3          100            25000            50          0:00:02.807          1974646     2.99                106336       4.14
UseCases/privateSetIntersect  3          100            25000            100         0:00:08.383          5549974     8.66                237016       4.38
UseCases/privateSetIntersect  3          100            25000            1000        0:07:34.034          211140160   454.33              9681424      14.91
UseCases/privateSetIntersect  3          100            10000            50          0:00:03.062          1978066     3.34                110428       4.19
UseCases/privateSetIntersect  3          100            10000            100         0:00:09.016          5554506     9.29                251628       4.30
UseCases/privateSetIntersect  3          100            10000            1000        0:07:21.300          211153334   441.62              9595844      14.64
UseCases/privateSetIntersect  3          100            1000             50          0:00:02.801          1974858     3.08                108660       4.24
UseCases/privateSetIntersect  3          100            1000             100         0:00:08.579          5560064     8.87                249352       4.37
UseCases/privateSetIntersect  3          100            1000             1000        0:07:36.261          211174944   456.48              9617080      14.94
UseCases/privateSetIntersect  3          100            100              50          0:00:02.697          1976918     2.88                116484       4.29
UseCases/privateSetIntersect  3          100            100              100         0:00:08.738          5553106     8.92                235732       4.41
UseCases/privateSetIntersect  3          100            100              1000        0:07:35.654          211151040   455.93              9648412      14.75
UseCases/privateSetIntersect  3          150            25000            50          0:00:02.689          1978102     2.88                124648       4.21
UseCases/privateSetIntersect  3          150            25000            100         0:00:08.553          5546852     8.81                258848       4.36
UseCases/privateSetIntersect  3          150            25000            1000        0:07:35.915          211137910   456.24              9695944      14.61
UseCases/privateSetIntersect  3          150            10000            50          0:00:02.583          1969842     2.84                129040       4.22
UseCases/privateSetIntersect  3          150            10000            100         0:00:08.499          5551168     8.79                245076       4.32
UseCases/privateSetIntersect  3          150            10000            1000        0:07:40.245          211146150   460.57              9674256      14.63
UseCases/privateSetIntersect  3          150            1000             50          0:00:02.919          1980894     3.20                110680       4.18
UseCases/privateSetIntersect  3          150            1000             100         0:00:08.731          5548750     9.02                240720       4.42
UseCases/privateSetIntersect  3          150            1000             1000        0:07:41.138          211142076   461.45              9666200      14.82
UseCases/privateSetIntersect  3          150            100              50          0:00:02.817          1973328     3.10                114800       4.15
UseCases/privateSetIntersect  3          150            100              100         0:00:08.470          5549792     8.66                244788       4.32
UseCases/privateSetIntersect  3          150            100              1000        0:07:34.402          211137176   454.68              9562556      15.36
