program           partysize  latencies(ms)  bandwidths(Mbs)  packetdrops(%)  runtime_internal(s)  Bytes Send  runtimeExternal(s)  RAMused(MB)  System Time (s)
Benchmarks/Share  3          150            25000            5               0:00:02.383          19999261    2.73                362684,4.66  
Benchmarks/Share  3          150            25000            10              0:00:02.025          19999149    2.36                360712,4.46  
Benchmarks/Share  3          150            10000            0               0:00:02.039          19999217    2.38                375064,4.61  
Benchmarks/Share  3          150            10000            1               0:00:02.305          19999358    2.65                358628,4.62  
Benchmarks/Share  3          150            10000            2               0:00:02.343          19999358    2.59                356620,4.59  
Benchmarks/Share  3          150            10000            5               0:00:02.042          19999302    2.37                356728,4.54  
Benchmarks/Share  3          150            10000            10              0:00:02.111          19999335    2.46                360464,4.62  
Benchmarks/Share  3          150            1000             0               0:00:02.045          19999197    2.45                362880,4.58  
Benchmarks/Share  3          150            1000             1               0:00:02.052          19999269    2.49                366752,4.56  
Benchmarks/Share  3          150            1000             2               0:00:02.088          19999357    2.52                360676,4.60  
Benchmarks/Share  3          150            1000             5               0:00:02.047          19999158    2.45                358708,4.53  
Benchmarks/Share  3          150            1000             10              0:00:02.115          19999245    2.54                360564,4.60  
Benchmarks/Share  3          150            100              0               0:00:02.083          19999208    3.12                368788,4.58  
Benchmarks/Share  3          150            100              1               0:00:02.144          19999092    3.18                352416,4.58  
Benchmarks/Share  3          150            100              2               0:00:02.037          19999331    3.18                366832,4.67  
Benchmarks/Share  3          150            100              5               0:00:02.034          19999171    3.18                356440,4.71  
Benchmarks/Share  3          150            100              10              0:00:02.106          19999208    3.25                364640,4.65  
