program;partysize;param2;latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(s);Bytes Send;runtime_external(s);peakRAM(MiB);System Time(s)
UseCases/LogisticRegression;3;5;0;25000;300;0;0:00:13.969;90561903;14.26;352;5.03
UseCases/LogisticRegression;3;5;0;25000;300;0;0:00:13.371;90561832;13.66;375;5.22
UseCases/LogisticRegression;3;5;0;25000;300;0;0:00:13.218;90561832;13.50;362;5.25
UseCases/LogisticRegression;3;5;0;25000;300;0;0:00:13.317;90561854;13.50;342;5.06
UseCases/LogisticRegression;3;5;0;25000;300;0;0:00:13.057;90562016;13.31;344;5.08
UseCases/LogisticRegression;3;5;0;25000;300;0;0:00:13.309;90561485;13.50;359;5.12
UseCases/LogisticRegression;3;5;0;25000;300;0;0:00:13.288;90561760;13.47;363;5.08
UseCases/LogisticRegression;3;5;0;25000;300;0;0:00:13.128;90561628;13.31;329;5.03
UseCases/LogisticRegression;3;5;0;25000;300;0;0:00:13.348;90561768;13.54;349;5.13
UseCases/LogisticRegression;3;5;0;25000;300;0;0:00:13.188;90561683;13.44;338;4.99
UseCases/LogisticRegression;3;5;0;25000;300;0;0:00:13.171;90561668;13.46;343;5.20
UseCases/LogisticRegression;3;5;0;25000;300;0;0:00:13.093;90561587;13.38;336;5.06
UseCases/LogisticRegression;3;5;0;25000;300;0;0:00:13.418;90561908;13.61;330;5.12
UseCases/LogisticRegression;3;5;0;25000;300;0;0:00:13.208;90561595;13.47;355;4.97
UseCases/LogisticRegression;3;5;0;25000;300;0;0:00:13.222;90562070;13.41;341;5.08
UseCases/LogisticRegression;3;5;0;25000;300;0;0:00:13.194;90562084;13.44;330;5.22
UseCases/LogisticRegression;3;5;0;25000;300;0;0:00:13.255;90561828;13.54;338;5.24
UseCases/LogisticRegression;3;5;0;25000;300;0;0:00:13.337;90561808;13.62;351;4.97
UseCases/LogisticRegression;3;5;0;25000;300;0;0:00:13.229;90561993;13.41;337;5.33
UseCases/LogisticRegression;3;5;0;25000;300;0;0:00:13.197;90562041;13.47;352;5.05
UseCases/LogisticRegression;3;5;0;10000;300;0;0:00:13.162;90561553;13.44;348;5.24
UseCases/LogisticRegression;3;5;0;10000;300;0;0:00:13.194;90562072;13.46;329;5.01
UseCases/LogisticRegression;3;5;0;10000;300;0;0:00:13.149;90562211;13.43;349;5.15
UseCases/LogisticRegression;3;5;0;10000;300;0;0:00:13.313;90561359;13.59;350;5.12
UseCases/LogisticRegression;3;5;0;10000;300;0;0:00:13.474;90562248;13.75;372;5.17
UseCases/LogisticRegression;3;5;0;10000;300;0;0:00:13.309;90562030;13.49;328;4.98
UseCases/LogisticRegression;3;5;0;10000;300;0;0:00:13.187;90562086;13.48;365;5.01
UseCases/LogisticRegression;3;5;0;10000;300;0;0:00:13.163;90561629;13.35;337;5.04
UseCases/LogisticRegression;3;5;0;10000;300;0;0:00:13.474;90562005;13.76;324;5.16
UseCases/LogisticRegression;3;5;0;10000;300;0;0:00:13.258;90562051;13.51;344;5.05
UseCases/LogisticRegression;3;5;0;1000;300;0;0:00:13.327;90561420;13.60;357;5.08
UseCases/LogisticRegression;3;5;0;1000;300;0;0:00:13.417;90561816;13.70;335;5.03
UseCases/LogisticRegression;3;5;0;1000;300;0;0:00:13.120;90561210;13.39;341;4.91
UseCases/LogisticRegression;3;5;0;1000;300;0;0:00:13.256;90561988;13.53;335;5.20
UseCases/LogisticRegression;3;5;0;1000;300;0;0:00:13.385;90561727;13.67;335;5.08
UseCases/LogisticRegression;3;5;0;1000;300;0;0:00:13.388;90562033;13.67;341;5.15
UseCases/LogisticRegression;3;5;0;1000;300;0;0:00:13.525;90561445;13.80;334;5.22
UseCases/LogisticRegression;3;5;0;1000;300;0;0:00:13.384;90561840;13.66;335;5.08
UseCases/LogisticRegression;3;5;0;1000;300;0;0:00:13.382;90561645;13.66;354;5.17
UseCases/LogisticRegression;3;5;0;1000;300;0;0:00:13.166;90561946;13.44;342;5.09
UseCases/LogisticRegression;3;5;0;100;300;0;0:00:13.506;90561929;13.78;334;5.27
UseCases/LogisticRegression;3;5;0;100;300;0;0:00:13.578;90562128;13.84;340;5.20
UseCases/LogisticRegression;3;5;0;100;300;0;0:00:13.943;90562043;14.23;339;5.29
UseCases/LogisticRegression;3;5;0;100;300;0;0:00:13.970;90561692;14.24;337;5.12
UseCases/LogisticRegression;3;5;0;100;300;0;0:00:13.745;90562036;14.03;358;5.12
UseCases/LogisticRegression;3;5;0;100;300;0;0:00:13.656;90561857;13.94;324;5.06
UseCases/LogisticRegression;3;5;0;100;300;0;0:00:13.817;90562121;14.07;332;4.99
UseCases/LogisticRegression;3;5;0;100;300;0;0:00:13.339;90561340;13.59;330;5.11
UseCases/LogisticRegression;3;5;0;100;300;0;0:00:13.870;90561590;14.13;342;5.24
UseCases/LogisticRegression;3;5;0;100;300;0;0:00:13.858;90562447;14.14;325;5.08
UseCases/LogisticRegression;3;5;0;25000;300;0;0:00:13.334;90562404;13.53;369;5.09
UseCases/LogisticRegression;3;5;0;25000;300;0;0:00:13.266;90561800;13.55;333;4.95
UseCases/LogisticRegression;3;5;0;25000;300;0;0:00:13.471;90561684;13.66;334;5.06
UseCases/LogisticRegression;3;5;0;25000;300;0;0:00:13.398;90562231;13.66;363;5.06
UseCases/LogisticRegression;3;5;0;25000;300;0;0:00:14.230;90561748;14.52;333;5.11
UseCases/LogisticRegression;3;5;0;25000;300;0;0:00:13.447;90561908;13.71;365;5.05
UseCases/LogisticRegression;3;5;0;25000;300;0;0:00:13.173;90561830;13.37;337;4.97
UseCases/LogisticRegression;3;5;0;25000;300;0;0:00:13.302;90561909;13.56;358;5.04
UseCases/LogisticRegression;3;5;0;25000;300;0;0:00:13.419;90561676;13.70;366;5.08
UseCases/LogisticRegression;3;5;0;25000;300;0;0:00:13.241;90562156;13.53;346;5.09
UseCases/LogisticRegression;3;5;25;25000;300;0;0:00:48.187;90561819;48.64;328;5.90
UseCases/LogisticRegression;3;5;25;25000;300;0;0:00:46.798;90562064;47.09;337;5.99
UseCases/LogisticRegression;3;5;25;25000;300;0;0:00:46.910;90561727;47.22;327;5.99
UseCases/LogisticRegression;3;5;25;25000;300;0;0:00:47.023;90561821;47.32;360;5.71
UseCases/LogisticRegression;3;5;25;25000;300;0;0:00:46.820;90561637;47.24;326;6.04
UseCases/LogisticRegression;3;5;25;25000;300;0;0:00:46.949;90561754;47.38;340;6.00
UseCases/LogisticRegression;3;5;25;25000;300;0;0:00:46.920;90561832;47.23;342;5.81
UseCases/LogisticRegression;3;5;25;25000;300;0;0:00:46.756;90562095;47.06;337;5.90
UseCases/LogisticRegression;3;5;25;25000;300;0;0:00:46.909;90562160;47.22;331;5.66
UseCases/LogisticRegression;3;5;25;25000;300;0;0:00:47.664;90562046;47.96;332;6.05
