program;protocol;partysize;latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(ms);runtime_external(s);peakRAM(MiB);jobCPU(%);ALLdataSent(MB);AllDataRec(MB);ALLmessagesSent;AllMessagesRec
Comparison;boolean_gmw;0;50;1000;10000;10;62660.708;63.18;453;2;14.040;14.040;568;568
Comparison;boolean_gmw;0;50;100;10000;0;3819.682;4.42;453;40;14.040;14.040;568;568
Comparison;boolean_gmw;0;50;100;10000;1;11964.652;12.56;452;13;14.040;14.040;568;568
Comparison;boolean_gmw;0;50;100;10000;2;19938.489;21.93;454;8;14.040;14.040;568;568
Comparison;boolean_gmw;0;50;100;10000;5;41425.312;42.12;453;4;14.040;14.040;568;568
Comparison;boolean_gmw;0;50;100;10000;10;65823.435;66.33;456;2;14.040;14.040;568;568
Comparison;boolean_gmw;0;75;25000;10000;0;4314.915;4.99;452;31;14.040;14.040;568;568
Comparison;boolean_gmw;0;75;25000;10000;1;17044.434;17.63;453;9;14.040;14.040;568;568
Comparison;boolean_gmw;0;75;25000;10000;2;30533.579;31.46;455;5;14.040;14.040;568;568
Comparison;boolean_gmw;0;75;25000;10000;5;56671.526;58.31;458;2;14.040;14.040;568;568
Comparison;boolean_gmw;0;75;25000;10000;10;86732.704;88.37;452;2;14.040;14.040;568;568
Comparison;boolean_gmw;0;75;10000;10000;0;4129.216;4.94;454;31;14.040;14.040;568;568
Comparison;boolean_gmw;0;75;10000;10000;1;11036.776;11.79;454;13;14.040;14.040;568;568
Comparison;boolean_gmw;0;75;10000;10000;2;28003.765;29.17;453;5;14.040;14.040;568;568
Comparison;boolean_gmw;0;75;10000;10000;5;51558.223;52.85;454;3;14.040;14.040;568;568
Comparison;boolean_gmw;0;75;10000;10000;10;95500.818;98.66;451;1;14.040;14.040;568;568
Comparison;boolean_gmw;0;75;1000;10000;0;4041.769;4.80;452;35;14.040;14.040;568;568
Comparison;boolean_gmw;0;75;1000;10000;1;24546.649;25.49;450;7;14.040;14.040;568;568
Comparison;boolean_gmw;0;75;1000;10000;2;30771.216;31.57;451;5;14.040;14.040;568;568
Comparison;boolean_gmw;0;75;1000;10000;5;54317.592;55.93;453;3;14.040;14.040;568;568
Comparison;boolean_gmw;0;75;1000;10000;10;104069.410;105.32;453;1;14.040;14.040;568;568
Comparison;boolean_gmw;0;75;100;10000;0;4480.615;5.32;454;34;14.040;14.040;568;568
Comparison;boolean_gmw;0;75;100;10000;1;21075.171;21.76;454;7;14.040;14.040;568;568
Comparison;boolean_gmw;0;75;100;10000;2;30259.569;32.03;458;5;14.040;14.040;568;568
Comparison;boolean_gmw;0;75;100;10000;5;62943.013;63.70;454;2;14.040;14.040;568;568
Comparison;boolean_gmw;0;75;100;10000;10;92387.128;96.62;458;1;14.040;14.040;568;568
Comparison;boolean_bmr;0;0;25000;10000;0;785.141;4.40;1035;81;102.765;102.841;550;552
Comparison;boolean_bmr;0;0;25000;10000;1;1152.658;4.74;1040;72;102.765;102.841;550;552
Comparison;boolean_bmr;0;0;25000;10000;2;1458.948;5.06;1071;69;102.765;102.841;550;552
Comparison;boolean_bmr;0;0;25000;10000;5;2770.827;6.70;1084;58;102.765;102.841;550;552
Comparison;boolean_bmr;0;0;25000;10000;10;32918.549;39.39;1106;11;102.765;102.841;550;552
Comparison;boolean_bmr;0;0;10000;10000;0;816.524;4.42;1050;78;102.765;102.841;550;552
Comparison;boolean_bmr;0;0;10000;10000;1;951.272;2.58;1052;128;102.765;102.841;550;552
Comparison;boolean_bmr;0;0;10000;10000;2;1389.800;1.99;1069;161;102.765;102.841;550;552
Comparison;boolean_bmr;0;0;10000;10000;5;2915.911;4.60;1027;86;102.765;102.841;550;552
Comparison;boolean_bmr;0;0;10000;10000;10;36076.257;37.73;1103;11;102.765;102.841;550;552
Comparison;boolean_bmr;0;0;1000;10000;0;1540.760;2.14;1045;190;102.765;102.841;550;552
