program;partysize;latencies(ms);bandwidths(Mbs);packetdrops(%);runtime_internal(s);Bytes Send;runtimeExternal(s);RAMused(MB);System Time (s)
Benchmarks/compare;3;30;100;1;0:00:02.544;13301884;2.80;161740;4.35
Benchmarks/compare;3;30;100;2;0:00:03.196;13302067;3.44;162564;4.26
Benchmarks/compare;3;30;100;5;0:00:02.449;13301945;2.72;162796;4.26
Benchmarks/compare;3;30;100;10;0:00:02.464;13301959;2.74;155720;4.37
Benchmarks/compare;3;100;25000;0;0:00:02.052;13302004;2.23;162824;4.34
Benchmarks/compare;3;100;25000;1;0:00:02.258;13301969;2.44;153004;4.26
Benchmarks/compare;3;100;25000;2;0:00:02.269;13301806;2.45;168200;4.26
Benchmarks/compare;3;100;25000;5;0:00:02.461;13301920;2.74;158860;4.40
Benchmarks/compare;3;100;25000;10;0:00:02.348;13301997;2.53;172916;4.35
Benchmarks/compare;3;100;10000;0;0:00:02.201;13302034;2.48;154336;4.29
Benchmarks/compare;3;100;10000;1;0:00:02.018;13302041;2.29;159344;4.22
Benchmarks/compare;3;100;10000;2;0:00:01.855;13302020;2.13;158364;4.27
Benchmarks/compare;3;100;10000;5;0:00:02.125;13301926;2.31;160424;4.38
Benchmarks/compare;3;100;10000;10;0:00:01.922;13302099;2.17;158860;4.33
Benchmarks/compare;3;100;1000;0;0:00:02.615;13301806;2.80;163180;4.38
Benchmarks/compare;3;100;1000;1;0:00:02.442;13301916;2.62;158296;4.35
Benchmarks/compare;3;100;1000;2;0:00:02.101;13302041;2.38;154148;4.39
Benchmarks/compare;3;100;1000;5;0:00:02.119;13301820;2.37;176484;4.25
Benchmarks/compare;3;100;1000;10;0:00:01.895;13301956;2.07;167508;4.26
Benchmarks/compare;3;100;100;0;0:00:02.822;13301963;3.00;154660;4.32
Benchmarks/compare;3;100;100;1;0:00:03.231;13301997;3.42;159396;4.50
Benchmarks/compare;3;100;100;2;0:00:03.346;13301959;3.64;152344;4.42
Benchmarks/compare;3;100;100;5;0:00:03.378;13301867;3.64;168456;4.50
Benchmarks/compare;3;100;100;10;0:00:03.403;13301989;3.60;170564;4.37
Benchmarks/compare;3;150;25000;0;0:00:02.186;13302001;2.46;168876;4.47
Benchmarks/compare;3;150;25000;1;0:00:02.403;13302081;2.58;152500;4.24
Benchmarks/compare;3;150;25000;2;0:00:02.035;13301840;2.27;168508;4.39
Benchmarks/compare;3;150;25000;5;0:00:02.146;13301924;2.41;155360;4.31
