program;partysize;latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(s);Bytes Send;runtime_external(s);peakRAM(MiB);System Time(s)
UseCases/AES;3;0;10000;256;0;0:00:28.543;24318205;28.80;333;4.67
UseCases/AES;3;0;10000;256;0;0:00:29.229;24318205;29.51;361;4.45
UseCases/AES;3;0;10000;256;0;0:00:28.891;24318205;29.07;337;4.64
UseCases/AES;3;0;10000;256;0;0:00:28.514;24318205;28.71;339;4.58
UseCases/AES;3;0;1000;256;0;0:00:28.750;24318205;28.98;343;4.49
UseCases/AES;3;0;1000;256;0;0:00:29.443;24318205;29.71;328;4.57
UseCases/AES;3;0;1000;256;0;0:00:28.657;24318205;28.95;325;4.60
UseCases/AES;3;0;1000;256;0;0:00:29.111;24318205;29.30;334;4.45
UseCases/AES;3;0;1000;256;0;0:00:29.120;24318205;29.31;347;4.59
UseCases/AES;3;0;1000;256;0;0:00:28.548;24318205;28.74;339;4.56
UseCases/AES;3;0;1000;256;0;0:00:28.625;24318205;28.91;333;4.44
UseCases/AES;3;0;1000;256;0;0:00:28.515;24318205;28.89;341;4.58
UseCases/AES;3;0;1000;256;0;0:00:28.500;24318205;28.79;333;4.40
UseCases/AES;3;0;1000;256;0;0:00:28.030;24318205;28.22;333;4.52
UseCases/AES;3;0;100;256;0;0:00:28.800;24318205;29.09;331;4.58
UseCases/AES;3;0;100;256;0;0:00:28.880;24318205;29.09;331;4.63
UseCases/AES;3;0;100;256;0;0:00:28.615;24318205;28.89;331;4.59
UseCases/AES;3;0;100;256;0;0:00:28.999;24318205;29.26;331;4.57
UseCases/AES;3;0;100;256;0;0:00:28.813;24318205;29.04;347;4.54
UseCases/AES;3;0;100;256;0;0:00:29.102;24318205;29.29;327;4.47
UseCases/AES;3;0;100;256;0;0:00:28.899;24318205;29.19;342;4.50
UseCases/AES;3;0;100;256;0;0:00:30.116;24318205;30.40;329;4.60
UseCases/AES;3;0;100;256;0;0:00:28.668;24318205;28.96;339;4.84
UseCases/AES;3;0;100;256;0;0:00:29.325;24318205;29.52;362;4.47
UseCases/AES;3;0;25000;256;1;0:00:28.811;24318205;29.14;331;4.58
UseCases/AES;3;0;25000;256;1;0:00:29.426;24318205;29.72;327;4.63
UseCases/AES;3;0;25000;256;1;0:00:29.355;24318205;29.63;331;4.42
UseCases/AES;3;0;25000;256;1;0:00:28.866;24318205;29.06;333;4.54
UseCases/AES;3;0;25000;256;1;0:00:29.540;24318205;29.84;327;4.54
UseCases/AES;3;0;25000;256;1;0:00:29.075;24318205;29.41;335;4.37
UseCases/AES;3;0;25000;256;1;0:00:28.841;24318205;29.03;329;4.52
UseCases/AES;3;0;25000;256;1;0:00:28.691;24318205;28.99;337;4.59
UseCases/AES;3;0;25000;256;1;0:00:28.995;24318205;29.28;332;4.51
UseCases/AES;3;0;25000;256;1;0:00:30.048;24318205;30.33;361;4.60
UseCases/AES;3;0;25000;256;2;0:00:30.832;24318205;31.46;330;4.67
UseCases/AES;3;0;25000;256;2;0:00:30.177;24318205;30.36;337;4.74
UseCases/AES;3;0;25000;256;2;0:00:30.777;24318205;31.02;330;4.57
UseCases/AES;3;0;25000;256;2;0:00:30.784;24318205;31.11;330;4.59
UseCases/AES;3;0;25000;256;2;0:00:30.462;24318205;30.90;345;4.60
UseCases/AES;3;0;25000;256;2;0:00:30.351;24318205;30.56;325;4.60
UseCases/AES;3;0;25000;256;2;0:00:30.362;24318205;30.56;349;4.47
UseCases/AES;3;0;25000;256;2;0:00:30.690;24318205;30.98;335;4.44
UseCases/AES;3;0;25000;256;2;0:00:30.978;24318205;32.20;341;4.46
UseCases/AES;3;0;25000;256;2;0:00:31.227;24318205;32.50;327;4.51
UseCases/AES;3;0;25000;256;5;0:00:38.134;24318205;39.33;335;4.43
UseCases/AES;3;0;25000;256;5;0:00:37.665;24318205;38.96;327;4.40
UseCases/AES;3;0;25000;256;5;0:00:37.423;24318205;37.99;329;4.53
UseCases/AES;3;0;25000;256;5;0:00:38.669;24318205;38.96;340;4.54
UseCases/AES;3;0;25000;256;5;0:00:36.302;24318205;36.50;338;4.56
UseCases/AES;3;0;25000;256;5;0:00:37.833;24318205;38.12;327;4.56
UseCases/AES;3;0;25000;256;5;0:00:38.956;24318205;39.23;333;4.73
UseCases/AES;3;0;25000;256;5;0:00:37.673;24318205;37.87;329;4.55
UseCases/AES;3;0;25000;256;5;0:00:37.068;24318205;37.43;340;4.49
UseCases/AES;3;0;25000;256;5;0:00:40.925;24318205;42.35;325;4.57
