program;protocol;partysize;latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(ms);runtime_external(s);peakRAM(MiB);jobCPU(%);ALLdataSent(MB);AllDataRec(MB);ALLmessagesSent;AllMessagesRec
multiplication;arithmetic_gmw;3;0;100;1000000;0;67327.399;75.05;17062;48;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;100;1000000;0;66102.739;73.53;17057;50;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;100;1000000;0;68364.767;72.46;17090;51;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;25;25000;1000000;0;22604.815;26.81;16863;103;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;25;25000;1000000;0;22872.411;27.02;16903;101;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;25;25000;1000000;0;22551.720;26.00;16867;104;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;25;25000;1000000;0;22169.154;27.04;16887;98;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;25;25000;1000000;0;22635.503;27.23;16881;102;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;25;25000;1000000;0;22564.202;26.77;16890;103;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;25;25000;1000000;0;22706.680;27.00;16894;101;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;25;25000;1000000;0;22959.521;27.08;16885;102;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;25;25000;1000000;0;22412.122;25.75;16895;100;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;25;25000;1000000;0;22684.007;26.89;16879;103;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;50;25000;1000000;0;34761.645;39.81;17010;70;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;50;25000;1000000;0;34254.038;38.71;16997;72;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;50;25000;1000000;0;34220.521;38.48;16998;71;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;50;25000;1000000;0;34349.931;38.63;17003;72;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;50;25000;1000000;0;34041.545;38.91;17005;70;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;50;25000;1000000;0;33788.042;38.38;17002;73;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;50;25000;1000000;0;34165.182;38.67;17013;69;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;50;25000;1000000;0;34525.416;39.37;17001;72;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;50;25000;1000000;0;33838.364;38.82;17012;73;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;50;25000;1000000;0;33602.010;38.14;16989;75;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;75;25000;1000000;0;46410.071;50.98;17056;54;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;75;25000;1000000;0;46370.962;50.73;17062;53;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;75;25000;1000000;0;46833.158;51.25;17051;54;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;75;25000;1000000;0;46989.654;51.53;17048;54;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;75;25000;1000000;0;45411.310;50.27;17054;55;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;75;25000;1000000;0;45523.933;50.36;17046;56;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;75;25000;1000000;0;45916.245;50.46;17048;53;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;75;25000;1000000;0;45842.203;50.44;17047;55;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;75;25000;1000000;0;46566.835;50.97;17051;54;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;75;25000;1000000;0;46239.762;51.07;17053;55;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;1;12596.755;19.57;14938;140;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;1;12258.701;18.96;14589;143;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;1;12054.351;19.43;14701;142;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;1;13146.285;19.43;15016;149;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;1;12560.813;19.54;15138;137;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;1;12769.488;19.84;14709;146;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;1;12434.426;19.92;14703;144;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;1;12585.893;19.83;14762;135;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;1;12643.202;20.52;14590;128;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;1;12403.176;19.65;14708;142;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;2;12792.535;19.99;15090;136;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;2;13189.594;19.48;15128;138;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;2;12322.451;19.84;14764;140;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;2;12591.751;19.91;15105;144;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;2;12354.365;19.65;15148;136;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;2;12873.044;19.17;15375;142;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;2;13512.623;20.86;15686;128;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;2;12446.654;19.69;14634;139;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;2;12228.917;16.58;15131;170;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;2;12168.585;19.81;15530;138;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;5;14306.368;22.23;15277;120;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;5;18423.454;24.96;15546;107;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;5;16818.593;23.33;16034;112;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;5;18084.794;25.67;16313;107;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;5;16923.610;23.99;16041;111;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;5;16586.841;24.15;16056;111;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;5;16142.339;23.99;16039;110;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;5;14842.061;21.96;16075;128;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;5;19175.575;26.20;16022;103;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;5;17028.348;24.45;14808;112;621.829;621.829;514;514
