program;partysize;latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(s);Bytes Send;runtime_external(s);peakRAM(MiB);System Time (s)
Benchmarks/Division;3;0;25000;10;0;0:00:00.260;73023;0.53;80528;4.02
Benchmarks/Division;3;0;25000;10;1;0:00:00.267;73023;0.53;66968;4.03
Benchmarks/Division;3;0;25000;10;2;0:00:00.490;73023;0.76;62436;4.10
Benchmarks/Division;3;0;25000;10;5;0:00:02.896;73023;3.10;54764;4.05
Benchmarks/Division;3;0;25000;10;10;0:00:07.475;73023;8.80;55200;4.09
Benchmarks/Division;3;0;25000;100;0;0:00:02.888;730023;3.08;197692;4.28
Benchmarks/Division;3;0;25000;100;1;0:00:03.452;730023;3.74;181264;4.24
Benchmarks/Division;3;0;25000;100;2;0:00:03.555;730023;3.83;204280;4.20
Benchmarks/Division;3;0;25000;100;5;0:00:05.613;730023;5.83;193392;4.06
Benchmarks/Division;3;0;25000;100;10;0:00:13.078;730023;14.77;200088;4.28
Benchmarks/Division;3;0;25000;1000;0;0:00:47.084;7300023;47.39;1423116;4.99
Benchmarks/Division;3;0;25000;1000;1;0:00:46.153;7300023;46.43;1458236;4.82
Benchmarks/Division;3;0;25000;1000;2;0:00:51.499;7300023;51.69;1318860;4.68
Benchmarks/Division;3;0;25000;1000;5;0:00:59.278;7300023;60.60;1497728;4.71
Benchmarks/Division;3;0;25000;1000;10;0:00:56.379;7300023;58.32;1421100;4.58
Benchmarks/Division;3;0;10000;10;0;0:00:00.280;73023;0.53;60084;4.09
Benchmarks/Division;3;0;10000;10;1;0:00:00.463;73023;0.75;56752;4.07
Benchmarks/Division;3;0;10000;10;2;0:00:00.494;73023;0.79;60288;4.08
Benchmarks/Division;3;0;10000;10;5;0:00:00.944;73023;1.21;64616;4.10
Benchmarks/Division;3;0;10000;10;10;0:00:04.154;73023;4.37;63052;4.11
Benchmarks/Division;3;0;10000;100;0;0:00:03.099;730023;3.30;178312;4.20
Benchmarks/Division;3;0;10000;100;1;0:00:03.329;730023;3.59;194468;4.24
Benchmarks/Division;3;0;10000;100;2;0:00:04.470;730023;4.68;193608;4.12
Benchmarks/Division;3;0;10000;100;5;0:00:09.656;730023;9.86;186644;4.04
Benchmarks/Division;3;0;10000;100;10;0:00:08.590;730023;8.92;190232;4.19
Benchmarks/Division;3;0;10000;1000;0;0:00:51.680;7300023;51.95;1473304;4.69
Benchmarks/Division;3;0;10000;1000;1;0:00:46.960;7300023;47.16;1461644;4.96
Benchmarks/Division;3;0;10000;1000;2;0:00:54.723;7300023;54.94;1402296;4.98
Benchmarks/Division;3;0;10000;1000;5;0:00:56.660;7300023;56.96;1450196;4.63
Benchmarks/Division;3;0;10000;1000;10;0:01:01.509;7300023;62.99;1338028;4.52
Benchmarks/Division;3;0;1000;10;0;0:00:00.258;73023;0.54;57676;4.08
Benchmarks/Division;3;0;1000;10;1;0:00:00.175;73023;0.43;60868;4.02
