program                    partysize  latencies(ms)  bandwidths(Mbs)  input_size  runtime_internal(s)  Bytes Send  runtimeExternal(s)  RAMused(MB)  System Time (s)
UseCases/NeuralNetworkVGG  3          1              25000            1           0:01:42.844          173192676   103.15              1319668      7.01
UseCases/NeuralNetworkVGG  3          1              25000            4           0:06:45.211          692535354   405.41              2868672      15.26
UseCases/NeuralNetworkVGG  3          1              10000            1           0:01:42.399          173191888   102.60              1313528      7.23
UseCases/NeuralNetworkVGG  3          1              10000            4           0:06:37.783          692534422   397.97              2919116      15.34
UseCases/NeuralNetworkVGG  3          1              1000             1           0:01:43.125          173193223   103.32              1307680      7.04
UseCases/NeuralNetworkVGG  3          1              1000             4           0:06:46.689          692535196   406.87              2914124      15.06
UseCases/NeuralNetworkVGG  3          1              100              1           0:01:48.613          173192996   108.87              1307708      7.02
UseCases/NeuralNetworkVGG  3          1              100              4           0:07:43.479          692532317   463.75              2894684      16.24
UseCases/NeuralNetworkVGG  3          30             25000            1           0:01:41.521          173192041   101.79              1323980      7.08
UseCases/NeuralNetworkVGG  3          30             25000            4           0:06:42.768          692532098   403.05              2858868      15.30
UseCases/NeuralNetworkVGG  3          30             10000            1           0:01:40.952          173191084   101.14              1307428      7.15
UseCases/NeuralNetworkVGG  3          30             10000            4           0:06:50.745          692533507   411.03              2869884      14.85
UseCases/NeuralNetworkVGG  3          30             1000             1           0:01:43.473          173193033   103.67              1307628      7.14
UseCases/NeuralNetworkVGG  3          30             1000             4           0:06:48.455          692533387   408.74              2891740      15.17
UseCases/NeuralNetworkVGG  3          30             100              1           0:01:50.170          173192633   110.36              1307352      7.16
UseCases/NeuralNetworkVGG  3          30             100              4           0:07:04.357          692534867   424.61              2897428      15.52
UseCases/NeuralNetworkVGG  3          100            25000            1           0:01:41.331          173193129   101.52              1301360      7.32
UseCases/NeuralNetworkVGG  3          100            25000            4           0:06:41.913          692534062   402.10              2850940      14.88
UseCases/NeuralNetworkVGG  3          100            10000            1           0:01:41.263          173191899   101.53              1309432      6.89
UseCases/NeuralNetworkVGG  3          100            10000            4           0:06:41.466          692536148   401.74              2891508      15.05
UseCases/NeuralNetworkVGG  3          100            1000             1           0:01:42.716          173191986   102.97              1301672      7.15
UseCases/NeuralNetworkVGG  3          100            1000             4           0:06:47.662          692535220   407.94              2936952      15.19
UseCases/NeuralNetworkVGG  3          100            100              1           0:01:48.254          173193013   108.45              1309676      6.96
UseCases/NeuralNetworkVGG  3          100            100              4           0:07:22.140          692532484   442.41              2911584      15.78
UseCases/NeuralNetworkVGG  3          150            25000            1           0:01:46.983          173192068   107.27              1307640      7.06
UseCases/NeuralNetworkVGG  3          150            25000            4           0:06:42.662          692535877   402.93              2870388      15.14
UseCases/NeuralNetworkVGG  3          150            10000            1           0:01:41.548          173192029   101.81              1313776      6.91
UseCases/NeuralNetworkVGG  3          150            10000            4           0:06:44.028          692534136   404.30              2876392      15.23
UseCases/NeuralNetworkVGG  3          150            1000             1           0:01:42.155          173193110   102.45              1303356      7.20
UseCases/NeuralNetworkVGG  3          150            1000             4           0:06:54.516          692534491   414.70              2871928      15.46
UseCases/NeuralNetworkVGG  3          150            100              1           0:01:52.409          173192651   112.70              1309556      7.27
UseCases/NeuralNetworkVGG  3          150            100              4           0:07:19.238          692537095   439.43              2889156      16.23
