program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB);System time (s);Preprocessing Time(s);Online Phase(s)
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;100;5;4.17977;6.08;34;10%;~695;0.529922;1.58977;0.19;0.0391151;4.1387
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;100;5;3.40013;6.30;31;9%;~695;0.529922;1.58977;0.20;0.0388998;3.35972
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;100;5;4.47841;6.37;33;9%;~695;0.529922;1.58977;0.19;0.251294;4.22528
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;100;5;3.56948;4.75;33;11%;~695;0.529922;1.58977;0.21;0.0311003;3.53635
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;100;5;3.13711;7.05;33;8%;~695;0.529922;1.58977;0.23;0.0344903;3.1009
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;100;5;4.24884;9.97;29;6%;~695;0.529922;1.58977;0.23;0.0206375;4.22669
62;RING;semihonest;replicated-ring;3;15.44;448;4;0;25000;100;0;0.214828;0.38;33;66%;~695;0.529922;1.58977;0.05;0.0141015;0.199645
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;100;0;0.137466;0.30;33;83%;~695;0.529922;1.58977;0.07;0.0143785;0.121693
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;100;0;0.274517;0.45;33;89%;~695;0.529922;1.58977;0.14;0.0140559;0.258678
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;100;0;0.334037;0.50;31;94%;~695;0.529922;1.58977;0.20;0.0146655;0.317733
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;100;0;0.351399;0.52;32;90%;~695;0.529922;1.58977;0.19;0.0147588;0.334782
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;100;0;0.357839;0.54;34;86%;~695;0.529922;1.58977;0.13;0.014557;0.341635
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;100;0;0.324348;0.51;30;86%;~695;0.529922;1.58977;0.16;0.0158703;0.306988
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;100;0;0.309627;0.48;35;87%;~695;0.529922;1.58977;0.20;0.01351;0.294451
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;100;0;0.312796;0.48;34;93%;~695;0.529922;1.58977;0.21;0.0149705;0.295925
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;100;0;0.344052;0.52;33;92%;~695;0.529922;1.58977;0.16;0.0139537;0.328412
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;10000;100;0;0.257899;0.44;35;83%;~695;0.529922;1.58977;0.11;0.0145366;0.241698
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;10000;100;0;0.341164;0.51;29;92%;~695;0.529922;1.58977;0.08;0.0147118;0.324651
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;10000;100;0;0.314193;0.49;34;87%;~695;0.529922;1.58977;0.13;0.0148158;0.297738
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;10000;100;0;0.349465;0.53;33;85%;~695;0.529922;1.58977;0.21;0.0144024;0.333473
