program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB);System time (s);Preprocessing Time(s);Online Phase(s)
62;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;100;0;36.3966;36.64;99;263%;~39028;249.127;744.631;56.34;35.9916;0.399399
62;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;100;0;36.3061;36.56;105;249%;~39028;249.127;744.631;53.91;35.8805;0.420421
62;RING;semidishonest;semi2k;3;NA;NA;NA;0;10000;100;0;36.2848;36.53;102;262%;~39028;249.127;744.631;56.11;35.8916;0.387307
62;RING;semidishonest;semi2k;3;NA;NA;NA;0;10000;100;0;36.5995;36.86;91;263%;~39028;249.127;744.631;56.94;36.1985;0.396163
62;RING;semidishonest;semi2k;3;NA;NA;NA;0;10000;100;0;36.357;36.61;100;261%;~39028;249.127;744.631;56.54;35.9623;0.38949
62;RING;semidishonest;semi2k;3;NA;NA;NA;0;10000;100;0;36.3781;36.63;99;263%;~39028;249.127;744.631;56.24;35.9734;0.398513
62;RING;semidishonest;semi2k;3;NA;NA;NA;0;10000;100;0;36.2049;36.45;101;263%;~39028;249.127;744.631;55.89;35.7909;0.407916
62;RING;semidishonest;semi2k;3;NA;NA;NA;0;10000;100;0;36.0485;36.29;96;258%;~39028;249.127;744.631;54.49;35.6447;0.398023
62;RING;semidishonest;semi2k;3;NA;NA;NA;0;10000;100;0;36.2365;36.48;104;261%;~39028;249.127;744.631;55.56;35.8318;0.398988
62;RING;semidishonest;semi2k;3;NA;NA;NA;0;10000;100;0;36.4693;36.72;100;262%;~39028;249.127;744.631;56.58;36.0592;0.405068
62;RING;semidishonest;semi2k;3;NA;NA;NA;0;10000;100;0;36.4118;36.66;96;263%;~39028;249.127;744.631;56.22;36.021;0.385499
62;RING;semidishonest;semi2k;3;NA;NA;NA;0;10000;100;0;36.4837;36.73;101;261%;~39028;249.127;744.631;56.33;36.0692;0.409019
62;RING;semidishonest;semi2k;3;NA;NA;NA;0;1000;100;0;37.4967;37.74;98;257%;~39028;249.127;744.631;57.04;37.0618;0.429212
62;RING;semidishonest;semi2k;3;NA;NA;NA;0;1000;100;0;37.4596;37.71;97;256%;~39028;249.127;744.631;56.33;37.0442;0.409664
62;RING;semidishonest;semi2k;3;NA;NA;NA;0;1000;100;0;37.2388;37.48;93;257%;~39028;249.127;744.631;55.79;36.8138;0.419684
62;RING;semidishonest;semi2k;3;NA;NA;NA;0;1000;100;0;37.6043;37.85;107;257%;~39028;249.127;744.631;56.97;37.1753;0.423326
62;RING;semidishonest;semi2k;3;NA;NA;NA;0;1000;100;0;37.6505;37.90;93;255%;~39028;249.127;744.631;57.16;37.2296;0.415821
62;RING;semidishonest;semi2k;3;NA;NA;NA;0;1000;100;0;37.5676;37.82;99;257%;~39028;249.127;744.631;57.25;37.1289;0.432886
62;RING;semidishonest;semi2k;3;NA;NA;NA;0;1000;100;0;37.5826;37.83;102;258%;~39028;249.127;744.631;57.95;37.1531;0.423471
62;RING;semidishonest;semi2k;3;NA;NA;NA;0;1000;100;0;37.3996;37.65;100;256%;~39028;249.127;744.631;56.53;36.9586;0.435475
62;RING;semidishonest;semi2k;3;NA;NA;NA;0;1000;100;0;37.4958;37.76;100;253%;~39028;249.127;744.631;54.93;37.0803;0.410068
62;RING;semidishonest;semi2k;3;NA;NA;NA;0;1000;100;0;37.6195;37.87;99;257%;~39028;249.127;744.631;57.87;37.1944;0.419694
62;RING;semidishonest;semi2k;3;NA;NA;NA;0;100;100;0;46.8674;47.12;105;202%;~39028;249.127;744.631;55.73;46.3685;0.493373
62;RING;semidishonest;semi2k;3;NA;NA;NA;0;100;100;0;46.9035;47.17;99;200%;~39028;249.127;744.631;55.42;46.3693;0.528681
62;RING;semidishonest;semi2k;3;NA;NA;NA;0;100;100;0;46.9961;47.25;103;202%;~39028;249.127;744.631;55.31;46.4747;0.515861
62;RING;semidishonest;semi2k;3;NA;NA;NA;0;100;100;0;47.205;47.46;105;201%;~39028;249.127;744.631;55.78;46.6663;0.53327
62;RING;semidishonest;semi2k;3;NA;NA;NA;0;100;100;0;47.4094;47.66;99;202%;~39028;249.127;744.631;55.32;46.8356;0.567482
62;RING;semidishonest;semi2k;3;NA;NA;NA;0;100;100;0;47.2587;47.51;98;201%;~39028;249.127;744.631;56.16;46.7493;0.504011
62;RING;semidishonest;semi2k;3;NA;NA;NA;0;100;100;0;46.7568;47.01;111;199%;~39028;249.127;744.631;53.95;46.2368;0.51417
62;RING;semidishonest;semi2k;3;NA;NA;NA;0;100;100;0;46.9372;47.19;94;202%;~39028;249.127;744.631;55.39;46.432;0.499612
62;RING;semidishonest;semi2k;3;NA;NA;NA;0;100;100;0;48.7063;48.96;99;195%;~39028;249.127;744.631;55.66;48.2109;0.490248
62;RING;semidishonest;semi2k;3;NA;NA;NA;0;100;100;0;47.0402;47.29;101;202%;~39028;249.127;744.631;56.60;46.5519;0.482819
62;RING;semidishonest;semi2k;3;15.01;448;4;0;25000;100;0;36.3274;36.57;92;263%;~39028;249.127;744.631;56.15;35.9382;0.383797
62;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;100;0;36.3439;36.60;101;263%;~39028;249.127;744.631;56.24;35.9265;0.411749
62;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;100;0;36.1601;36.41;97;260%;~39028;249.127;744.631;55.44;35.7575;0.396848
62;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;100;0;36.2668;36.51;98;261%;~39028;249.127;744.631;55.87;35.8613;0.399906
62;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;100;0;36.3049;36.54;103;263%;~39028;249.127;744.631;56.61;35.9236;0.375615
62;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;100;0;36.2803;36.53;101;262%;~39028;249.127;744.631;56.79;35.8778;0.397333
62;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;100;0;36.4817;36.73;97;262%;~39028;249.127;744.631;56.90;36.0608;0.415658
62;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;100;0;36.3535;36.60;100;263%;~39028;249.127;744.631;56.70;35.9635;0.384328
62;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;100;0;36.2998;36.55;97;258%;~39028;249.127;744.631;55.53;35.878;0.416126
62;RING;semidishonest;semi2k;3;NA;NA;NA;25;25000;100;0;486.364;488.14;111;21%;~39028;249.127;744.631;60.45;451.042;35.3164
62;RING;semidishonest;semi2k;3;NA;NA;NA;25;25000;100;0;486.262;488.04;101;21%;~39028;249.127;744.631;59.64;450.929;35.3264
62;RING;semidishonest;semi2k;3;NA;NA;NA;25;25000;100;0;486.332;488.12;106;21%;~39028;249.127;744.631;59.59;450.856;35.4688
62;RING;semidishonest;semi2k;3;NA;NA;NA;25;25000;100;0;486.353;488.12;107;21%;~39028;249.127;744.631;60.47;451.02;35.3259
62;RING;semidishonest;semi2k;3;NA;NA;NA;25;25000;100;0;486.313;488.09;105;21%;~39028;249.127;744.631;60.18;450.834;35.4728
62;RING;semidishonest;semi2k;3;NA;NA;NA;25;25000;100;0;486.202;487.99;111;21%;~39028;249.127;744.631;59.91;450.689;35.5063
62;RING;semidishonest;semi2k;3;NA;NA;NA;25;25000;100;0;486.466;488.22;107;21%;~39028;249.127;744.631;59.57;450.978;35.4815
62;RING;semidishonest;semi2k;3;NA;NA;NA;25;25000;100;0;486.393;488.17;102;21%;~39028;249.127;744.631;59.35;451.119;35.2677
62;RING;semidishonest;semi2k;3;NA;NA;NA;25;25000;100;0;486.494;488.26;109;21%;~39028;249.127;744.631;60.49;451.179;35.3083
62;RING;semidishonest;semi2k;3;NA;NA;NA;25;25000;100;0;486.353;488.11;108;21%;~39028;249.127;744.631;58.77;450.922;35.425
62;RING;semidishonest;semi2k;3;NA;NA;NA;50;25000;100;0;937.993;941.28;104;11%;~39028;249.127;744.631;60.38;865.887;72.0998
62;RING;semidishonest;semi2k;3;NA;NA;NA;50;25000;100;0;937.781;941.09;110;11%;~39028;249.127;744.631;59.30;865.783;71.9918
62;RING;semidishonest;semi2k;3;NA;NA;NA;50;25000;100;0;937.584;940.88;107;11%;~39028;249.127;744.631;61.04;865.788;71.7894
62;RING;semidishonest;semi2k;3;NA;NA;NA;50;25000;100;0;937.853;941.14;111;11%;~39028;249.127;744.631;60.56;865.832;72.0134
62;RING;semidishonest;semi2k;3;NA;NA;NA;50;25000;100;0;937.884;941.17;105;11%;~39028;249.127;744.631;61.04;865.731;72.1472
62;RING;semidishonest;semi2k;3;NA;NA;NA;75;25000;100;0;1390.04;1394.84;104;7%;~39028;249.127;744.631;61.61;1282.02;108.015
62;RING;semidishonest;semi2k;3;NA;NA;NA;75;25000;100;0;1388.88;1393.68;107;7%;~39028;249.127;744.631;61.11;1281.55;107.323
62;RING;semidishonest;semi2k;3;NA;NA;NA;75;25000;100;0;1389.92;1394.73;106;7%;~39028;249.127;744.631;59.78;1282;107.909
62;RING;semidishonest;semi2k;3;NA;NA;NA;75;25000;100;0;1389.73;1394.52;108;7%;~39028;249.127;744.631;61.21;1282.08;107.64
62;RING;semidishonest;semi2k;3;NA;NA;NA;75;25000;100;0;1389.72;1394.52;109;7%;~39028;249.127;744.631;60.33;1281.6;108.119
