program;protocol;partysize;latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(ms);runtime_external(s);peakRAM(MiB);jobCPU(%);ALLdataSent(MB);AllDataRec(MB);ALLmessagesSent;AllMessagesRec
mean;boolean_gmw;3;0;25000;10000;5;79610.554;82.71;198;9;0.186;0.186;2859;2859
mean;boolean_gmw;3;0;25000;10000;5;74673.279;77.75;183;13;0.186;0.186;2859;2859
mean;boolean_gmw;3;0;25000;10000;5;75718.692;75.81;214;10;0.186;0.186;2859;2859
mean;boolean_gmw;3;0;25000;10000;5;74630.087;75.12;202;14;0.186;0.186;2859;2859
mean;boolean_gmw;3;0;25000;10000;5;72976.316;76.27;199;11;0.186;0.186;2859;2859
mean;boolean_gmw;3;0;25000;10000;5;78527.850;78.82;155;12;0.186;0.186;2859;2859
mean;boolean_gmw;3;0;10000;10000;0;24033.370;24.11;180;26;0.186;0.186;2859;2859
mean;boolean_gmw;3;0;10000;10000;0;20335.326;23.42;140;58;0.186;0.186;2859;2859
mean;boolean_gmw;3;0;10000;10000;0;26042.745;29.13;139;26;0.186;0.186;2859;2859
mean;boolean_gmw;3;0;10000;10000;0;26342.407;26.43;137;24;0.186;0.186;2859;2859
mean;boolean_gmw;3;0;10000;10000;0;27461.919;30.55;185;40;0.186;0.186;2859;2859
mean;boolean_gmw;3;0;10000;10000;0;26692.699;29.77;145;29;0.186;0.186;2859;2859
mean;boolean_gmw;3;0;10000;10000;0;27169.675;30.27;205;25;0.186;0.186;2859;2859
mean;boolean_gmw;3;0;10000;10000;0;25615.850;28.70;188;27;0.186;0.186;2859;2859
mean;boolean_gmw;3;0;10000;10000;0;26632.787;26.71;170;31;0.186;0.186;2859;2859
mean;boolean_gmw;3;0;10000;10000;0;26032.965;29.12;200;45;0.186;0.186;2859;2859
mean;boolean_gmw;3;0;1000;10000;0;17952.425;21.04;140;72;0.186;0.186;2859;2859
mean;boolean_gmw;3;0;1000;10000;0;26404.360;29.49;182;30;0.186;0.186;2859;2859
mean;boolean_gmw;3;0;1000;10000;0;26718.875;29.80;200;34;0.186;0.186;2859;2859
mean;boolean_gmw;3;0;1000;10000;0;27146.252;30.23;198;25;0.186;0.186;2859;2859
mean;boolean_gmw;3;0;1000;10000;0;26575.063;29.65;141;29;0.186;0.186;2859;2859
mean;boolean_gmw;3;0;1000;10000;0;26728.063;26.82;195;21;0.186;0.186;2859;2859
mean;boolean_gmw;3;0;1000;10000;0;26376.426;29.45;140;28;0.186;0.186;2859;2859
mean;boolean_gmw;3;0;1000;10000;0;27028.350;30.12;190;27;0.186;0.186;2859;2859
mean;boolean_gmw;3;0;1000;10000;0;24621.864;24.70;138;38;0.186;0.186;2859;2859
mean;boolean_gmw;3;0;1000;10000;0;26098.299;26.18;139;28;0.186;0.186;2859;2859
mean;boolean_gmw;3;0;100;10000;0;27253.962;30.34;187;24;0.186;0.186;2859;2859
mean;boolean_gmw;3;0;100;10000;0;26640.602;29.71;139;25;0.186;0.186;2859;2859
mean;boolean_gmw;3;0;100;10000;0;27240.147;30.33;211;34;0.186;0.186;2859;2859
mean;boolean_gmw;3;0;100;10000;0;26884.200;26.97;143;27;0.186;0.186;2859;2859
mean;boolean_gmw;3;0;100;10000;0;27288.639;30.36;170;31;0.186;0.186;2859;2859
mean;boolean_gmw;3;0;100;10000;0;26377.555;26.46;186;26;0.186;0.186;2859;2859
mean;boolean_gmw;3;0;100;10000;0;27867.300;30.96;211;23;0.186;0.186;2859;2859
mean;boolean_gmw;3;0;100;10000;0;26487.583;29.57;191;25;0.186;0.186;2859;2859
mean;boolean_gmw;3;0;100;10000;0;26490.116;29.57;157;28;0.186;0.186;2859;2859
mean;boolean_gmw;3;0;100;10000;0;26760.980;29.85;150;30;0.186;0.186;2859;2859^
