program  protocol        partysize  latencies(ms)  bandwidths(Mbs)  input_size  packetdrops(%)  runtime_internal(ms)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  ALLdataSent(MB)  AllDataRec(MB)  ALLmessagesSent  AllMessagesRec
Share    arithmetic_gmw  3          150            25000            1000000     0               51.894                0.07                 76            154        0.000            0.000           4                4
Share    arithmetic_gmw  3          150            25000            1000000     1               65.546                3.08                 77            4          0.000            0.000           4                4
Share    arithmetic_gmw  3          150            25000            1000000     2               64.661                3.08                 73            4          0.000            0.000           4                4
Share    arithmetic_gmw  3          150            25000            1000000     5               73.372                3.09                 78            4          0.000            0.000           4                4
Share    arithmetic_gmw  3          150            25000            1000000     10              64.047                3.09                 75            4          0.000            0.000           4                4
Share    arithmetic_gmw  3          150            10000            1000000     0               75.822                3.10                 74            5          0.000            0.000           4                4
Share    arithmetic_gmw  3          150            10000            1000000     1               109.703               0.13                 74            116        0.000            0.000           4                4
Share    arithmetic_gmw  3          150            10000            1000000     2               64.934                3.08                 74            4          0.000            0.000           4                4
Share    arithmetic_gmw  3          150            10000            1000000     5               49.636                3.06                 73            3          0.000            0.000           4                4
Share    arithmetic_gmw  3          150            10000            1000000     10              79.305                0.10                 74            158        0.000            0.000           4                4
Share    arithmetic_gmw  3          150            1000             1000000     0               76.289                0.09                 75            162        0.000            0.000           4                4
Share    arithmetic_gmw  3          150            1000             1000000     1               68.933                3.09                 72            4          0.000            0.000           4                4
Share    arithmetic_gmw  3          150            1000             1000000     2               111.515               3.12                 73            4          0.000            0.000           4                4
Share    arithmetic_gmw  3          150            1000             1000000     5               62.424                3.07                 74            4          0.000            0.000           4                4
Share    arithmetic_gmw  3          150            1000             1000000     10              67.802                3.08                 74            4          0.000            0.000           4                4
Share    arithmetic_gmw  3          150            100              1000000     0               108.169               0.13                 73            110        0.000            0.000           4                4
Share    arithmetic_gmw  3          150            100              1000000     1               58.079                3.07                 73            4          0.000            0.000           4                4
Share    arithmetic_gmw  3          150            100              1000000     2               68.901                3.09                 78            5          0.000            0.000           4                4
Share    arithmetic_gmw  3          150            100              1000000     5               72.489                3.09                 76            5          0.000            0.000           4                4
Share    arithmetic_gmw  3          150            100              1000000     10              77.659                3.10                 73            4          0.000            0.000           4                4
Share    boolean_gmw     3          1              25000            1000000     0               79.939                3.10                 52            5          0.000            0.000           4                4
Share    boolean_gmw     3          1              25000            1000000     1               60.802                3.08                 50            4          0.000            0.000           4                4
Share    boolean_gmw     3          1              25000            1000000     2               64.027                3.07                 54            5          0.000            0.000           4                4
Share    boolean_gmw     3          1              25000            1000000     5               67.152                3.09                 50            4          0.000            0.000           4                4
Share    boolean_gmw     3          1              25000            1000000     10              58.451                3.07                 52            4          0.000            0.000           4                4
Share    boolean_gmw     3          1              10000            1000000     0               76.373                3.09                 54            5          0.000            0.000           4                4
Share    boolean_gmw     3          1              10000            1000000     1               58.107                0.07                 50            170        0.000            0.000           4                4
Share    boolean_gmw     3          1              10000            1000000     2               73.169                3.08                 50            5          0.000            0.000           4                4
Share    boolean_gmw     3          1              10000            1000000     5               55.391                3.08                 50            4          0.000            0.000           4                4
Share    boolean_gmw     3          1              10000            1000000     10              58.955                0.09                 50            150        0.000            0.000           4                4
Share    boolean_gmw     3          1              1000             1000000     0               48.427                0.07                 52            131        0.000            0.000           4                4
Share    boolean_gmw     3          1              1000             1000000     1               63.493                3.07                 51            4          0.000            0.000           4                4
Share    boolean_gmw     3          1              1000             1000000     2               52.433                0.08                 54            132        0.000            0.000           4                4
Share    boolean_gmw     3          1              1000             1000000     5               52.086                0.08                 54            126        0.000            0.000           4                4
Share    boolean_gmw     3          1              1000             1000000     10              50.068                0.07                 54            130        0.000            0.000           4                4
Share    boolean_gmw     3          1              100              1000000     0               66.494                3.09                 52            4          0.000            0.000           4                4
Share    boolean_gmw     3          1              100              1000000     1               77.066                3.10                 52            5          0.000            0.000           4                4
