program  c.domain  adv.model   protocol          partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  latencies(ms)  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  System time (s)
62       FIELD     malhonest   ps-rep-field      3          NA            NA                 NA                 150            1000             50          4.4881               4.58                 70            111%       ~7273         23.1328         66.506           2.13
62       FIELD     malhonest   ps-rep-field      3          NA            NA                 NA                 150            1000             100         14.3485              14.43                73            119%       ~27373        25.1797         72.5244          9.25
62       FIELD     malhonest   ps-rep-field      3          NA            NA                 NA                 150            1000             500         353.271              353.35               76            115%       ~655362       599.224         1723.34          210.14
62       FIELD     malhonest   ps-rep-field      3          NA            NA                 NA                 150            100              50          6.38807              6.47                 74            83%        ~7273         23.1328         66.506           1.92
62       FIELD     malhonest   ps-rep-field      3          NA            NA                 NA                 150            100              100         15.6041              15.69                73            94%        ~27373        25.1797         72.5244          7.27
62       FIELD     malhonest   ps-rep-field      3          NA            NA                 NA                 150            100              500         405.11               405.20               77            104%       ~655362       599.224         1723.34          204.96
62       FIELD     semihonest  replicated-field  3          0.35          30                 1                  1              25000            50          2.11827              2.20                 15            98%        ~4705         0.35193         0.95083          1.29
62       FIELD     semihonest  replicated-field  3          0.19          21                 1                  1              25000            100         8.23535              8.31                 20            79%        ~18505        1.38738         3.75016          3.71
62       FIELD     semihonest  replicated-field  3          0.21          21                 1                  1              25000            500         213.432              213.51               20            98%        ~448457       34.6357         93.608           118.45
62       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 1              10000            50          1.98615              2.06                 17            63%        ~4705         0.35193         0.95083          0.79
62       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 1              10000            100         8.41402              8.49                 20            94%        ~18505        1.38738         3.75016          4.62
62       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 1              10000            500         215.079              215.16               20            95%        ~448457       34.6357         93.608           118.23
62       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 1              1000             50          2.1936               2.27                 15            88%        ~4705         0.35193         0.95083          1.06
62       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 1              1000             100         8.78573              8.87                 22            96%        ~18505        1.38738         3.75016          4.96
62       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 1              1000             500         213.347              213.42               21            97%        ~448457       34.6357         93.608           116.50
62       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 1              100              50          2.26052              2.33                 17            95%        ~4705         0.35193         0.95083          1.31
62       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 1              100              100         8.91653              8.99                 20            97%        ~18505        1.38738         3.75016          5.14
62       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 1              100              500         217.791              217.87               20            96%        ~448457       34.6357         93.608           118.89
