program  c.domain  adv.model   protocol          partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  latencies(ms)  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  System time (s)
61       FIELD     semihonest  shamir            3          NA            NA                 NA                 30             10000            100         0.971425             1.05                 16            131%       ~1687         0.085708        0.21878          0.80
61       FIELD     semihonest  shamir            3          NA            NA                 NA                 30             10000            10000       57.0407              57.12                26            130%       ~100884       10.0114         25.5688          39.70
61       FIELD     semihonest  shamir            3          NA            NA                 NA                 30             1000             100         0.955978             1.04                 14            131%       ~1687         0.085708        0.21878          0.71
61       FIELD     semihonest  shamir            3          NA            NA                 NA                 30             1000             10000       57.5085              57.59                28            121%       ~100884       10.0114         25.5688          37.59
61       FIELD     semihonest  shamir            3          NA            NA                 NA                 30             100              100         0.884394             0.97                 16            134%       ~1687         0.085708        0.21878          0.72
61       FIELD     semihonest  shamir            3          NA            NA                 NA                 30             100              10000       58.2281              58.31                29            126%       ~100884       10.0114         25.5688          38.77
61       FIELD     semihonest  shamir            3          NA            NA                 NA                 100            25000            100         0.887015             0.96                 14            135%       ~1687         0.085708        0.21878          0.78
61       FIELD     semihonest  shamir            3          NA            NA                 NA                 100            25000            10000       58.0117              58.09                27            126%       ~100884       10.0114         25.5688          39.26
61       FIELD     semihonest  shamir            3          NA            NA                 NA                 100            10000            100         0.97248              1.05                 16            128%       ~1687         0.085708        0.21878          0.69
61       FIELD     semihonest  shamir            3          NA            NA                 NA                 100            10000            10000       57.013               57.10                28            129%       ~100884       10.0114         25.5688          38.33
61       FIELD     semihonest  shamir            3          NA            NA                 NA                 100            1000             100         0.947694             1.03                 16            134%       ~1687         0.085708        0.21878          0.78
61       FIELD     semihonest  shamir            3          NA            NA                 NA                 100            1000             10000       57.0723              57.15                27            125%       ~100884       10.0114         25.5688          38.31
61       FIELD     semihonest  shamir            3          NA            NA                 NA                 100            100              100         0.930888             1.01                 14            120%       ~1687         0.085708        0.21878          0.60
61       FIELD     semihonest  shamir            3          NA            NA                 NA                 100            100              10000       58.7461              58.83                29            126%       ~100884       10.0114         25.5688          39.30
61       FIELD     semihonest  shamir            3          NA            NA                 NA                 150            25000            100         0.911557             0.99                 14            130%       ~1687         0.085708        0.21878          0.64
61       FIELD     semihonest  shamir            3          NA            NA                 NA                 150            25000            10000       58.7241              58.80                26            126%       ~100884       10.0114         25.5688          38.59
61       FIELD     semihonest  shamir            3          NA            NA                 NA                 150            10000            100         0.970647             1.05                 14            124%       ~1687         0.085708        0.21878          0.70
61       FIELD     semihonest  shamir            3          NA            NA                 NA                 150            10000            10000       57.7165              57.80                29            125%       ~100884       10.0114         25.5688          39.11
61       FIELD     semihonest  shamir            3          NA            NA                 NA                 150            1000             100         0.965973             1.04                 14            135%       ~1687         0.085708        0.21878          0.80
61       FIELD     semihonest  shamir            3          NA            NA                 NA                 150            1000             10000       57.6338              57.71                28            125%       ~100884       10.0114         25.5688          38.09
61       FIELD     semihonest  shamir            3          NA            NA                 NA                 150            100              100         0.923088             1.00                 14            124%       ~1687         0.085708        0.21878          0.64
61       FIELD     semihonest  shamir            3          NA            NA                 NA                 150            100              10000       58.8361              58.92                28            124%       ~100884       10.0114         25.5688          38.54
61       RING      malhonest   ps-rep-ring       3          1.05          48                 1                  1              25000            100         0.514603             0.61                 22            100%       ~1015         1.09676         3.29029          0.38
61       RING      malhonest   ps-rep-ring       3          0.93          48                 1                  1              25000            10000       44.5858              44.67                30            110%       ~90165        24.9311         74.7934          28.15
61       RING      malhonest   ps-rep-ring       3          NA            NA                 NA                 1              10000            100         0.50484              0.59                 22            104%       ~1015         1.09676         3.29029          0.34
61       RING      malhonest   ps-rep-ring       3          NA            NA                 NA                 1              10000            10000       42.349               42.43                27            105%       ~90165        24.9311         74.7934          24.32
61       RING      malhonest   ps-rep-ring       3          NA            NA                 NA                 1              1000             100         0.50619              0.59                 22            104%       ~1015         1.09676         3.29029          0.31
61       RING      malhonest   ps-rep-ring       3          NA            NA                 NA                 1              1000             10000       42.9238              43.01                28            106%       ~90165        24.9311         74.7934          25.66
61       RING      malhonest   ps-rep-ring       3          NA            NA                 NA                 1              100              100         0.57106              0.65                 24            100%       ~1015         1.09676         3.29029          0.33
61       RING      malhonest   ps-rep-ring       3          NA            NA                 NA                 1              100              10000       43.3502              43.44                29            111%       ~90165        24.9311         74.7934          26.96
61       RING      malhonest   ps-rep-ring       3          NA            NA                 NA                 30             25000            100         0.482208             0.56                 22            101%       ~1015         1.09676         3.29029          0.29
61       RING      malhonest   ps-rep-ring       3          NA            NA                 NA                 30             25000            10000       42.258               42.34                28            104%       ~90165        24.9311         74.7934          24.25
61       RING      malhonest   ps-rep-ring       3          NA            NA                 NA                 30             10000            100         0.328455             0.41                 22            103%       ~1015         1.09676         3.29029          0.21
61       RING      malhonest   ps-rep-ring       3          NA            NA                 NA                 30             10000            10000       42.2927              42.38                27            112%       ~90165        24.9311         74.7934          26.87
61       RING      malhonest   ps-rep-ring       3          NA            NA                 NA                 30             1000             100         0.530146             0.60                 22            104%       ~1015         1.09676         3.29029          0.34
61       RING      malhonest   ps-rep-ring       3          NA            NA                 NA                 30             1000             10000       43.4681              43.56                27            106%       ~90165        24.9311         74.7934          25.78
61       RING      malhonest   ps-rep-ring       3          NA            NA                 NA                 30             100              100         0.487327             0.57                 20            76%        ~1015         1.09676         3.29029          0.15
61       RING      malhonest   ps-rep-ring       3          NA            NA                 NA                 30             100              10000       40.328               40.42                26            111%       ~90165        24.9311         74.7934          25.44
61       RING      malhonest   ps-rep-ring       3          NA            NA                 NA                 100            25000            100         0.499634             0.58                 22            99%        ~1015         1.09676         3.29029          0.32
61       RING      malhonest   ps-rep-ring       3          NA            NA                 NA                 100            25000            10000       44.3603              44.44                28            111%       ~90165        24.9311         74.7934          27.52
61       RING      malhonest   ps-rep-ring       3          NA            NA                 NA                 100            10000            100         0.502162             0.58                 24            101%       ~1015         1.09676         3.29029          0.33
