program;protocol;partysize;latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(ms);runtime_external(s);peakRAM(MiB);jobCPU(%);ALLdataSent(MB);AllDataRec(MB);ALLmessagesSent;AllMessagesRec;multTripPresetup;multTripSetup;sharedPowerPresetup;sharedPowerSetup;sharedBitPresetup;sharedBitSetup;baseOT;otExtension;kk13OtExtension;preprocessingTime;gatesSetup;gatesOnline
Multiplication;arithmetic_gmw;0;0;25000;1000000;0;12186.894;19.60;14701;145;621.829;621.829;514;514;4186.107;1625.627;0.000;0.000;0.000;0.000;0.000;Setup;Extension;12054.694;0.004;123.517
Multiplication;arithmetic_gmw;0;0;25000;1000000;1;11820.317;18.87;14772;141;621.829;621.829;514;514;3731.954;2076.149;0.000;0.000;0.000;0.000;0.000;Setup;Extension;11721.983;0.005;89.981
Multiplication;arithmetic_gmw;0;0;25000;1000000;2;12402.858;18.70;14770;147;621.829;621.829;514;514;3658.264;1622.960;0.000;0.000;0.000;0.000;0.000;Setup;Extension;12279.317;0.003;116.686
Multiplication;arithmetic_gmw;0;0;25000;1000000;5;16458.564;24.49;15105;110;621.829;621.829;514;514;3782.421;3826.039;0.000;0.000;0.000;0.000;0.000;Setup;Extension;16427.783;0.003;25.182
Multiplication;arithmetic_gmw;0;0;25000;1000000;10;175558.587;183.90;17042;16;621.829;621.829;514;514;3630.334;13814.012;0.000;0.000;0.000;0.000;0.000;Setup;Extension;126835.941;0.004;48711.195
Multiplication;arithmetic_gmw;0;0;10000;1000000;0;12265.994;19.53;14587;143;621.829;621.829;514;514;3681.144;1666.763;0.000;0.000;0.000;0.000;0.000;Setup;Extension;11761.966;0.005;497.398
Multiplication;arithmetic_gmw;0;0;10000;1000000;1;12519.277;20.16;14650;143;621.829;621.829;514;514;4388.849;1665.822;0.000;0.000;0.000;0.000;0.000;Setup;Extension;12227.891;0.003;284.929
Multiplication;arithmetic_gmw;0;0;10000;1000000;2;12572.958;20.23;14693;141;621.829;621.829;514;514;4085.018;1822.440;0.000;0.000;0.000;0.000;0.000;Setup;Extension;12139.627;0.004;423.364
Multiplication;arithmetic_gmw;0;0;10000;1000000;5;16202.407;23.76;16260;116;621.829;621.829;514;514;4307.278;1676.659;0.000;0.000;0.000;0.000;0.000;Setup;Extension;15119.101;0.005;1074.039
Multiplication;arithmetic_gmw;0;0;10000;1000000;10;141382.492;155.32;17026;20;621.829;621.829;514;514;4273.235;36817.669;0.000;0.000;0.000;0.000;0.000;Setup;Extension;109891.881;0.005;31479.678
Multiplication;arithmetic_gmw;0;0;1000;1000000;0;15993.096;22.25;15964;119;621.829;621.829;514;514;3629.331;2572.722;0.000;0.000;0.000;0.000;0.000;Setup;Extension;15594.168;0.004;384.133
