program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);latencies(ms);bandwidths(Mbs);input_size;input2_size;packetdrops(%);runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB);System time (s)
64;RING;semihonest;replicated-ring;3;NA;NA;NA;50;25000;300;5;0;525.937;529.64;183;14%;~167668;26.5318;79.5953;44.76
64;RING;semihonest;replicated-ring;3;NA;NA;NA;50;25000;300;5;0;526.059;529.76;174;14%;~167668;26.5318;79.5953;46.04
64;RING;semihonest;replicated-ring;3;NA;NA;NA;50;25000;300;5;0;525.981;529.68;174;14%;~167668;26.5318;79.5953;44.52
64;RING;semihonest;replicated-ring;3;NA;NA;NA;50;25000;300;5;0;526.044;529.75;178;14%;~167668;26.5318;79.5953;45.21
64;RING;semihonest;replicated-ring;3;NA;NA;NA;50;25000;300;5;0;526.094;529.80;180;14%;~167668;26.5318;79.5953;43.89
64;RING;semihonest;replicated-ring;3;NA;NA;NA;50;25000;300;5;0;526.038;529.76;184;14%;~167668;26.5318;79.5953;44.84
64;RING;semihonest;replicated-ring;3;NA;NA;NA;50;25000;300;5;0;526.074;529.78;180;14%;~167668;26.5318;79.5953;44.88
64;RING;semihonest;replicated-ring;3;NA;NA;NA;75;25000;300;5;0;786.104;791.56;180;10%;~167668;26.5318;79.5953;48.16
64;RING;semihonest;replicated-ring;3;NA;NA;NA;75;25000;300;5;0;785.926;791.38;182;9%;~167668;26.5318;79.5953;44.16
64;RING;semihonest;replicated-ring;3;NA;NA;NA;75;25000;300;5;0;785.992;791.46;177;9%;~167668;26.5318;79.5953;44.26
64;RING;semihonest;replicated-ring;3;NA;NA;NA;75;25000;300;5;0;786.001;791.46;184;9%;~167668;26.5318;79.5953;43.74
64;RING;semihonest;replicated-ring;3;NA;NA;NA;75;25000;300;5;0;786.028;791.48;181;9%;~167668;26.5318;79.5953;45.09
64;RING;semihonest;replicated-ring;3;NA;NA;NA;75;25000;300;5;0;785.965;791.43;179;9%;~167668;26.5318;79.5953;45.53
64;RING;semihonest;replicated-ring;3;NA;NA;NA;75;25000;300;5;0;785.974;791.44;174;9%;~167668;26.5318;79.5953;42.14
64;RING;semihonest;replicated-ring;3;NA;NA;NA;75;25000;300;5;0;786.004;791.46;181;9%;~167668;26.5318;79.5953;43.74
