program              partysize  latencies(ms)  bandwidths(Mbs)  input_size  packetdrops(%)  runtime_internal(s)  Bytes Send  runtimeExternal(s)  RAMused(MB)  System Time (s)
Benchmarks/Division  3          1              25000            10          0               0:00:00.252          73023       0.46                70912        4.09
Benchmarks/Division  3          1              25000            10          1               0:00:00.266          73023       0.53                57268        3.99
Benchmarks/Division  3          1              25000            10          2               0:00:00.249          73023       0.42                59852        4.21
Benchmarks/Division  3          1              25000            10          5               0:00:00.258          73023       0.54                54136        4.10
Benchmarks/Division  3          1              25000            10          10              0:00:00.338          73023       0.53                64152        4.13
Benchmarks/Division  3          1              25000            100         0               0:00:03.296          730023      3.59                199512       4.05
Benchmarks/Division  3          1              25000            100         1               0:00:03.105          730023      3.39                182320       4.22
Benchmarks/Division  3          1              25000            100         2               0:00:03.194          730023      3.39                186400       4.09
Benchmarks/Division  3          1              25000            100         5               0:00:03.227          730023      3.50                176696       4.10
Benchmarks/Division  3          1              25000            100         10              0:00:03.409          730023      3.67                195588       4.20
Benchmarks/Division  3          1              25000            1000        0               0:00:46.568          7300023     46.77               1381836      4.89
Benchmarks/Division  3          1              25000            1000        1               0:00:54.679          7300023     54.98               1458916      5.02
Benchmarks/Division  3          1              25000            1000        2               0:00:48.181          7300023     48.47               1335788      4.94
Benchmarks/Division  3          1              25000            1000        5               0:00:52.712          7300023     53.01               1457848      5.12
Benchmarks/Division  3          1              25000            1000        10              0:00:49.470          7300023     49.74               1450532      5.03
Benchmarks/Division  3          1              10000            10          0               0:00:00.265          73023       0.55                70172        3.96
Benchmarks/Division  3          1              10000            10          1               0:00:00.268          73023       0.56                61580        4.06
Benchmarks/Division  3          1              10000            10          2               0:00:00.261          73023       0.55                52248        3.95
Benchmarks/Division  3          1              10000            10          5               0:00:00.257          73023       0.54                87348        3.96
Benchmarks/Division  3          1              10000            10          10              0:00:00.263          73023       0.55                61372        4.12
Benchmarks/Division  3          1              10000            100         0               0:00:03.130          730023      3.40                210516       4.15
Benchmarks/Division  3          1              10000            100         1               0:00:02.718          730023      2.99                187300       4.07
Benchmarks/Division  3          1              10000            100         2               0:00:03.192          730023      3.46                197096       4.09
Benchmarks/Division  3          1              10000            100         5               0:00:03.149          730023      3.40                195048       4.21
Benchmarks/Division  3          1              10000            100         10              0:00:03.396          730023      3.67                188592       4.22
Benchmarks/Division  3          1              10000            1000        0               0:00:47.230          7300023     47.42               1361264      4.90
Benchmarks/Division  3          1              10000            1000        1               0:00:50.643          7300023     50.84               1446192      5.02
Benchmarks/Division  3          1              10000            1000        2               0:00:50.170          7300023     50.47               1460224      4.99
Benchmarks/Division  3          1              10000            1000        5               0:00:46.972          7300023     47.24               1386144      4.96
Benchmarks/Division  3          1              10000            1000        10              0:00:52.690          7300023     52.99               1318560      5.09
Benchmarks/Division  3          1              1000             10          0               0:00:00.263          73023       0.56                61920        4.03
Benchmarks/Division  3          1              1000             10          1               0:00:00.248          73023       0.50                55308        4.14
Benchmarks/Division  3          1              1000             10          2               0:00:00.230          73023       0.50                60180        4.15
Benchmarks/Division  3          1              1000             10          5               0:00:00.202          73023       0.47                64812        4.07
