program;partysize;latencies(ms);bandwidths(Mbs);input_size;runtime_internal(s);Bytes Send;runtimeExternal(s);RAMused(MB);System Time (s)
UseCases/SecureStatistics;3;1;25000;100;0:00:00.266;204216;0.53;66340;4.11
UseCases/SecureStatistics;3;1;25000;1000;0:00:02.151;2059306;2.43;116000;4.08
UseCases/SecureStatistics;3;1;25000;5000;0:00:18.156;10303792;18.39;344776;4.53
UseCases/SecureStatistics;3;1;25000;10000;0:00:45.383;20608654;45.57;654576;5.11
UseCases/SecureStatistics;3;1;10000;100;0:00:00.286;204216;0.55;47880;4.07
UseCases/SecureStatistics;3;1;10000;1000;0:00:02.397;2059306;2.58;104008;4.16
UseCases/SecureStatistics;3;1;10000;5000;0:00:18.646;10303622;18.92;344684;4.61
UseCases/SecureStatistics;3;1;10000;10000;0:00:44.698;20608824;44.98;650956;5.00
UseCases/SecureStatistics;3;1;1000;100;0:00:00.275;204446;0.53;49892;4.12
UseCases/SecureStatistics;3;1;1000;1000;0:00:02.299;2059306;2.56;120148;4.08
UseCases/SecureStatistics;3;1;1000;5000;0:00:19.073;10303792;19.35;339752;4.47
UseCases/SecureStatistics;3;1;1000;10000;0:00:44.118;20608994;44.41;645040;5.16
UseCases/SecureStatistics;3;1;100;100;0:00:00.308;204216;0.59;43552;4.04
UseCases/SecureStatistics;3;1;100;1000;0:00:02.150;2059306;2.42;108376;4.27
UseCases/SecureStatistics;3;1;100;5000;0:00:18.211;10303874;18.45;346612;4.47
UseCases/SecureStatistics;3;1;100;10000;0:00:43.674;20608654;43.92;643132;4.83
UseCases/SecureStatistics;3;30;25000;100;0:00:00.278;204216;0.56;57976;4.05
UseCases/SecureStatistics;3;30;25000;1000;0:00:02.333;2059306;2.57;106708;4.17
UseCases/SecureStatistics;3;30;25000;5000;0:00:19.165;10304472;19.45;337228;4.59
UseCases/SecureStatistics;3;30;25000;10000;0:00:45.397;20608654;45.58;657004;4.94
UseCases/SecureStatistics;3;30;10000;100;0:00:00.278;204528;0.52;47692;3.93
UseCases/SecureStatistics;3;30;10000;1000;0:00:02.149;2059716;2.43;104056;4.12
UseCases/SecureStatistics;3;30;10000;5000;0:00:18.717;10303622;18.90;348492;4.57
UseCases/SecureStatistics;3;30;10000;10000;0:00:44.874;20608654;45.06;646724;5.24
UseCases/SecureStatistics;3;30;1000;100;0:00:00.203;204216;0.43;82592;4.01
UseCases/SecureStatistics;3;30;1000;1000;0:00:02.178;2059306;2.43;107976;4.18
