program;protocol;partysize;latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(ms);runtime_external(s);peakRAM(MiB);jobCPU(%);ALLdataSent(MB);AllDataRec(MB);ALLmessagesSent;AllMessagesRec
psi;boolean_gmw;3;0;25000;100;0;3561.622;7.18;1221;342;10.705;13.879;44796;44796
psi;boolean_gmw;3;0;25000;100;0;5135.081;8.75;1210;319;10.705;13.879;44796;44796
psi;boolean_gmw;3;0;25000;100;0;5658.788;6.27;1219;568;10.705;13.879;44796;44796
psi;boolean_gmw;3;0;25000;100;0;6764.653;10.37;1222;374;10.705;13.879;44796;44796
psi;boolean_gmw;3;0;25000;100;0;5603.814;6.22;1210;514;10.705;13.879;44796;44796
psi;boolean_gmw;3;0;25000;100;0;3757.993;7.42;1215;380;10.705;13.879;44796;44796
psi;boolean_gmw;3;0;25000;100;0;6214.915;9.81;1215;352;10.705;13.879;44796;44796
psi;boolean_gmw;3;0;25000;100;0;6139.137;9.80;1218;390;10.705;13.879;44796;44796
psi;boolean_gmw;3;0;25000;100;0;4197.999;4.85;1220;678;10.705;13.879;44796;44796
psi;boolean_gmw;3;0;25000;100;0;4928.249;5.54;1216;543;10.705;13.879;44796;44796
psi;boolean_gmw;3;0;25000;100;0;4275.703;7.93;1216;423;10.705;13.879;44796;44796
psi;boolean_gmw;3;0;25000;100;0;5190.319;8.80;1219;387;10.705;13.879;44796;44796
psi;boolean_gmw;3;0;25000;100;0;5887.932;9.50;1221;363;10.705;13.879;44796;44796
psi;boolean_gmw;3;0;25000;100;0;4900.652;8.57;1206;345;10.705;13.879;44796;44796
psi;boolean_gmw;3;0;25000;100;0;6235.403;9.85;1227;347;10.705;13.879;44796;44796
psi;boolean_gmw;3;0;25000;100;0;4241.427;7.85;1207;340;10.705;13.879;44796;44796
psi;boolean_gmw;3;0;25000;100;0;7348.146;10.96;1222;290;10.705;13.879;44796;44796
psi;boolean_gmw;3;0;25000;100;0;4346.128;7.96;1218;352;10.705;13.879;44796;44796
psi;boolean_gmw;3;0;25000;100;0;4160.401;7.78;1219;411;10.705;13.879;44796;44796
psi;boolean_gmw;3;0;25000;100;0;8221.794;11.88;1209;345;10.705;13.879;44796;44796
