program;partysize;latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(s);Bytes Send;runtime_external(s);RAMused(MB);System Time (s)
Benchmarks/Share;3;0;25000;1000000;0;0:00:02.045;19999333;2.46;364592;4.70
Benchmarks/Share;3;0;25000;1000000;1;0:00:02.176;19999216;2.69;362736;4.55
Benchmarks/Share;3;0;25000;1000000;2;0:00:02.032;19999042;2.46;366696;4.52
Benchmarks/Share;3;0;25000;1000000;5;0:00:02.048;19999255;4.37;366660;4.59
Benchmarks/Share;3;0;25000;1000000;10;0:00:02.093;19999249;14.61;352500;4.67
Benchmarks/Share;3;0;10000;1000000;0;0:00:02.042;19999157;2.32;356460;4.53
Benchmarks/Share;3;0;10000;1000000;1;0:00:02.043;19999257;2.55;354344;4.63
Benchmarks/Share;3;0;10000;1000000;2;0:00:02.041;19999060;2.65;364644;4.56
Benchmarks/Share;3;0;10000;1000000;5;0:00:02.339;19999295;4.17;358644;4.80
Benchmarks/Share;3;0;10000;1000000;10;0:00:02.054;19999211;9.65;356628;4.51
Benchmarks/Share;3;0;1000;1000000;0;0:00:02.384;19999210;2.83;377028;4.65
Benchmarks/Share;3;0;1000;1000000;1;0:00:02.037;19999139;2.38;370704;4.64
Benchmarks/Share;3;0;1000;1000000;2;0:00:02.048;19999266;2.64;358912;4.69
Benchmarks/Share;3;0;1000;1000000;5;0:00:02.380;19999208;3.39;360496;4.57
Benchmarks/Share;3;0;1000;1000000;10;0:00:02.049;19998957;12.08;354528;4.53
Benchmarks/Share;3;0;100;1000000;0;0:00:02.071;19999238;3.13;372952;4.53
Benchmarks/Share;3;0;100;1000000;1;0:00:02.048;19999289;3.11;372824;4.64
Benchmarks/Share;3;0;100;1000000;2;0:00:02.377;19999206;3.55;352312;4.77
Benchmarks/Share;3;0;100;1000000;5;0:00:02.032;19999082;3.76;372848;4.39
Benchmarks/Share;3;0;100;1000000;10;0:00:02.027;19999145;5.75;360608;4.73
Benchmarks/Share;3;25;25000;1000000;0;0:00:02.044;19999241;2.87;358480;4.72
Benchmarks/Share;3;25;25000;1000000;1;0:00:02.356;19999118;3.76;362592;4.64
Benchmarks/Share;3;25;25000;1000000;2;0:00:02.071;19999335;5.77;370780;4.67
Benchmarks/Share;3;25;25000;1000000;5;0:00:02.287;19999205;13.06;354432;4.71
Benchmarks/Share;3;25;25000;1000000;10;0:00:02.037;19999200;26.51;356376;4.59
Benchmarks/Share;3;25;10000;1000000;0;0:00:02.060;19999265;2.86;371012;4.62
Benchmarks/Share;3;25;10000;1000000;1;0:00:02.308;19999338;3.30;364656;4.62
Benchmarks/Share;3;25;10000;1000000;2;0:00:02.059;19999199;7.56;368932;4.53
Benchmarks/Share;3;25;10000;1000000;5;0:00:02.044;19999213;12.83;360460;4.70
Benchmarks/Share;3;25;10000;1000000;10;0:00:02.035;19999245;21.72;354548;4.50
Benchmarks/Share;3;25;1000;1000000;0;0:00:02.122;19999237;2.94;362808;4.66
Benchmarks/Share;3;25;1000;1000000;1;0:00:02.127;19999245;3.16;358512;4.55
Benchmarks/Share;3;25;1000;1000000;2;0:00:02.046;19999207;6.02;358416;4.61
Benchmarks/Share;3;25;1000;1000000;5;0:00:02.300;19999321;13.45;360556;4.62
Benchmarks/Share;3;25;1000;1000000;10;0:00:02.244;19999093;26.39;356616;4.60
Benchmarks/Share;3;25;100;1000000;0;0:00:02.140;19999186;3.50;360552;4.68
Benchmarks/Share;3;25;100;1000000;1;0:00:02.327;19999360;3.97;366752;4.77
Benchmarks/Share;3;25;100;1000000;2;0:00:02.282;19999209;10.42;354352;4.77
Benchmarks/Share;3;25;100;1000000;5;0:00:02.040;19999227;16.87;354760;4.62
Benchmarks/Share;3;25;100;1000000;10;0:00:02.043;19999047;28.83;368680;4.60
Benchmarks/Share;3;50;25000;1000000;0;0:00:02.090;19999199;3.59;372796;4.54
Benchmarks/Share;3;50;25000;1000000;1;0:00:02.120;19999158;3.89;374872;4.69
Benchmarks/Share;3;50;25000;1000000;2;0:00:02.169;19999084;14.70;352316;4.68
Benchmarks/Share;3;50;25000;1000000;5;0:00:02.042;19999200;20.43;368832;4.66
Benchmarks/Share;3;50;25000;1000000;10;0:00:02.251;19999078;32.24;352692;4.65
Benchmarks/Share;3;50;10000;1000000;0;0:00:02.257;19999064;3.76;356332;4.67
Benchmarks/Share;3;50;10000;1000000;1;0:00:02.242;19999241;5.45;352516;4.77
Benchmarks/Share;3;50;10000;1000000;2;0:00:02.042;19999280;12.98;352672;4.58
Benchmarks/Share;3;50;10000;1000000;5;0:00:02.043;19999190;25.57;358568;4.64
Benchmarks/Share;3;50;10000;1000000;10;0:00:02.041;19999125;40.77;364792;4.55
Benchmarks/Share;3;50;1000;1000000;0;0:00:02.069;19999062;3.49;360400;4.58
