program;protocol;partysize;latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(ms);runtime_external(s);peakRAM(MiB);jobCPU(%);ALLdataSent(MB);AllDataRec(MB);ALLmessagesSent;AllMessagesRec;multTripPresetup;multTripSetup;sharedPowerPresetup;sharedPowerSetup;sharedBitPresetup;sharedBitSetup;baseOT;otExtension;kk13OtExtension;preprocessingTime;gatesSetup;gatesOnline
Reveal;arithmetic_gmw;0;25;10000;1000000;10;6237.390;10.95;65;1;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;426.393;0.005;5794.853
Reveal;arithmetic_gmw;0;25;1000;1000000;0;602.278;0.78;61;17;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;144.769;0.005;444.806
Reveal;arithmetic_gmw;0;25;1000;1000000;1;1029.519;1.17;66;10;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;143.130;0.003;875.918
Reveal;arithmetic_gmw;0;25;1000;1000000;2;3453.516;3.90;64;4;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;51.520;0.021;3385.842
Reveal;arithmetic_gmw;0;25;1000;1000000;5;4761.341;5.77;63;3;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;143.739;0.022;4596.684
Reveal;arithmetic_gmw;0;25;1000;1000000;10;10551.349;14.83;69;1;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;2424.501;0.277;8106.468
Reveal;arithmetic_gmw;0;25;100;1000000;0;847.430;1.04;68;19;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;141.168;0.004;690.462
Reveal;arithmetic_gmw;0;25;100;1000000;1;2700.087;2.84;62;6;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;145.459;0.023;2536.426
Reveal;arithmetic_gmw;0;25;100;1000000;2;3677.388;4.13;62;4;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;385.411;0.004;3275.793
Reveal;arithmetic_gmw;0;25;100;1000000;5;4947.899;7.91;67;2;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;406.420;0.005;4526.279
Reveal;arithmetic_gmw;0;25;100;1000000;10;9556.359;12.20;63;1;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;896.041;0.004;8645.262
Reveal;arithmetic_gmw;0;50;25000;1000000;0;1067.901;1.42;63;7;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;240.856;0.015;814.795
Reveal;arithmetic_gmw;0;50;25000;1000000;1;2891.231;4.67;66;3;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;242.830;0.132;2631.073
Reveal;arithmetic_gmw;0;50;25000;1000000;2;4032.599;5.36;66;3;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;244.540;0.602;3772.419
Reveal;arithmetic_gmw;0;50;25000;1000000;5;6604.008;10.22;65;1;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;243.223;0.003;6345.037
Reveal;arithmetic_gmw;0;50;25000;1000000;10;17676.431;18.79;59;1;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;786.141;0.138;16874.449
Reveal;arithmetic_gmw;0;50;10000;1000000;0;1176.667;1.44;62;10;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;242.472;0.005;917.815
Reveal;arithmetic_gmw;0;50;10000;1000000;1;1383.580;1.66;62;7;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;243.243;0.019;1127.110
Reveal;arithmetic_gmw;0;50;10000;1000000;2;1871.997;3.17;59;4;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;241.994;0.005;1615.032
Reveal;arithmetic_gmw;0;50;10000;1000000;5;9081.433;10.92;66;1;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;151.434;0.005;8912.133
Reveal;arithmetic_gmw;0;50;10000;1000000;10;12170.026;15.46;61;1;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;482.022;0.022;11670.207
Reveal;arithmetic_gmw;0;50;1000;1000000;0;1086.862;1.45;61;11;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;245.070;0.018;826.893
Reveal;arithmetic_gmw;0;50;1000;1000000;1;2323.678;4.29;65;3;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;242.568;0.005;2065.873
Reveal;arithmetic_gmw;0;50;1000;1000000;2;1792.415;2.43;61;6;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;243.079;0.004;1533.127
Reveal;arithmetic_gmw;0;50;1000;1000000;5;7842.248;9.13;62;2;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;529.973;0.020;7296.190
Reveal;arithmetic_gmw;0;50;1000;1000000;10;19941.454;20.98;66;0;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;722.434;0.005;19202.194
Reveal;arithmetic_gmw;0;50;100;1000000;0;1395.557;1.86;66;9;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;242.450;0.005;1137.226
Reveal;arithmetic_gmw;0;50;100;1000000;1;1482.148;1.79;62;10;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;245.822;0.005;1218.828
Reveal;arithmetic_gmw;0;50;100;1000000;2;4588.150;9.57;61;1;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;142.943;0.015;4433.056
Reveal;arithmetic_gmw;0;50;100;1000000;5;10806.414;11.69;64;1;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;241.784;0.004;10547.142
Reveal;arithmetic_gmw;0;50;100;1000000;10;18368.787;18.98;64;0;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;244.994;0.004;18109.437
Reveal;arithmetic_gmw;0;75;25000;1000000;0;1579.482;2.13;61;6;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;343.796;0.003;1224.721
Reveal;arithmetic_gmw;0;75;25000;1000000;1;6983.054;7.38;64;2;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;341.561;0.003;6627.591
Reveal;arithmetic_gmw;0;75;25000;1000000;2;7177.763;7.57;66;2;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;343.973;0.126;6815.177
Reveal;arithmetic_gmw;0;75;25000;1000000;5;11034.147;11.95;64;1;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;594.855;0.004;10420.863
Reveal;arithmetic_gmw;0;75;25000;1000000;10;28143.122;32.38;62;0;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;738.504;0.004;27392.445
Reveal;arithmetic_gmw;0;75;10000;1000000;0;1581.557;2.11;64;7;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;344.196;0.004;1220.420
Reveal;arithmetic_gmw;0;75;10000;1000000;1;2630.133;3.34;66;4;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;341.742;0.004;2274.946
Reveal;arithmetic_gmw;0;75;10000;1000000;2;7151.792;11.96;69;1;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;301.594;0.004;6834.990
Reveal;arithmetic_gmw;0;75;10000;1000000;5;16238.447;16.64;64;1;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;343.215;0.005;15876.684
Reveal;arithmetic_gmw;0;75;10000;1000000;10;20427.146;30.04;69;0;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;937.381;0.005;19471.048
Reveal;arithmetic_gmw;0;75;1000;1000000;0;1593.153;2.14;60;6;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;343.098;0.016;1239.238
Reveal;arithmetic_gmw;0;75;1000;1000000;1;3540.903;3.94;62;3;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;342.044;0.004;3186.432
Reveal;arithmetic_gmw;0;75;1000;1000000;2;10187.462;11.08;62;1;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;856.304;0.024;9312.583
Reveal;arithmetic_gmw;0;75;1000;1000000;5;10848.206;11.24;66;1;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;658.018;0.005;10167.729
Reveal;arithmetic_gmw;0;75;1000;1000000;10;22777.434;24.76;62;0;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;934.489;0.004;21831.047
Reveal;arithmetic_gmw;0;75;100;1000000;0;1778.395;2.31;63;8;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;342.255;0.004;1420.449
Reveal;arithmetic_gmw;0;75;100;1000000;1;4574.039;10.11;69;1;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;341.789;0.004;4213.956
Reveal;arithmetic_gmw;0;75;100;1000000;2;8466.860;9.88;60;1;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;327.738;0.045;8121.503
Reveal;arithmetic_gmw;0;75;100;1000000;5;15581.137;16.66;62;1;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;302.862;0.005;15264.005
Reveal;arithmetic_gmw;0;75;100;1000000;10;23926.461;27.66;61;0;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;908.568;0.029;23003.479
Reveal;boolean_gmw;0;0;25000;1000000;0;52.177;3.08;64;3;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;1.621;0.003;36.060
Reveal;boolean_gmw;0;0;25000;1000000;1;48.862;3.13;62;4;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;1.526;0.004;32.007
Reveal;boolean_gmw;0;0;25000;1000000;2;99.990;3.12;63;4;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;2.154;0.003;79.352
Reveal;boolean_gmw;0;0;25000;1000000;5;496.533;0.54;58;28;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;412.973;0.004;67.453
Reveal;boolean_gmw;0;0;25000;1000000;10;1353.427;5.02;66;3;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;43.148;0.004;1292.549
Reveal;boolean_gmw;0;0;10000;1000000;0;45.677;0.07;62;134;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;1.703;0.001;32.375
Reveal;boolean_gmw;0;0;10000;1000000;1;263.888;3.28;63;4;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;208.065;0.005;36.059
Reveal;boolean_gmw;0;0;10000;1000000;2;61.003;3.29;58;4;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;2.258;0.003;43.112
Reveal;boolean_gmw;0;0;10000;1000000;5;263.973;3.29;55;4;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;210.122;0.004;36.748
Reveal;boolean_gmw;0;0;10000;1000000;10;72.371;8.50;62;1;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;2.730;0.003;53.861
Reveal;boolean_gmw;0;0;1000;1000000;0;132.328;3.15;63;4;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;43.278;0.004;73.318
Reveal;boolean_gmw;0;0;1000;1000000;1;301.773;3.32;64;4;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;206.449;0.004;77.939
Reveal;boolean_gmw;0;0;1000;1000000;2;131.567;3.15;60;5;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;42.984;0.005;70.443
Reveal;boolean_gmw;0;0;1000;1000000;5;88.097;0.54;60;24;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;1.612;0.002;74.417
Reveal;boolean_gmw;0;0;1000;1000000;10;3827.834;7.05;57;3;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;416.617;0.005;3391.068
Reveal;boolean_gmw;0;0;100;1000000;0;457.782;3.47;67;6;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;1.849;0.003;439.545
Reveal;boolean_gmw;0;0;100;1000000;1;472.712;0.57;58;40;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;2.514;0.004;454.484
Reveal;boolean_gmw;0;0;100;1000000;2;445.908;3.49;66;6;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;1.602;0.004;426.071
Reveal;boolean_gmw;0;0;100;1000000;5;588.641;4.62;64;4;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;1.760;0.004;566.735
Reveal;boolean_gmw;0;0;100;1000000;10;1180.069;2.72;62;8;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;2.530;0.003;1160.190
Reveal;boolean_gmw;0;25;25000;1000000;0;587.491;0.77;66;19;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;144.809;0.005;422.661
Reveal;boolean_gmw;0;25;25000;1000000;1;1755.318;1.91;66;9;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;144.901;0.005;1590.842
Reveal;boolean_gmw;0;25;25000;1000000;2;1044.636;3.61;66;4;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;142.286;0.005;883.517
Reveal;boolean_gmw;0;25;25000;1000000;5;5007.169;7.25;62;2;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;51.484;0.004;4938.475
Reveal;boolean_gmw;0;25;25000;1000000;10;8179.079;11.16;64;1;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;141.193;0.005;8015.983
Reveal;boolean_gmw;0;25;10000;1000000;0;584.869;0.78;66;19;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;144.352;0.005;422.441
Reveal;boolean_gmw;0;25;10000;1000000;1;1243.519;2.39;63;7;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;385.761;0.004;838.907
Reveal;boolean_gmw;0;25;10000;1000000;2;4598.912;4.75;62;3;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;400.577;0.005;4183.844
Reveal;boolean_gmw;0;25;10000;1000000;5;3129.644;5.58;70;3;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;144.936;0.005;2966.135
