program  protocol     partysize  latencies(ms)  bandwidths(Mbs)  input_size  packetdrops(%)  runtime_internal(ms)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  ALLdataSent(MB)  AllDataRec(MB)  ALLmessagesSent  AllMessagesRec
AES      boolean_gmw  0          25             10000            1           1               7431.456              7.85                 422           203        0.761            0.761           13190            13190
AES      boolean_gmw  0          25             10000            1           2               10392.268             10.81                404           187        0.761            0.761           13190            13190
AES      boolean_gmw  0          25             10000            128         0               7712.112              8.28                 788           241        13.553           13.553          13190            13190
AES      boolean_gmw  0          25             10000            128         1               9296.678              9.86                 798           161        13.553           13.553          13190            13190
AES      boolean_gmw  0          25             10000            128         2               12548.792             14.36                795           102        13.553           13.553          13190            13190
AES      boolean_gmw  0          25             10000            256         0               6388.286              7.09                 1165          229        26.443           26.443          13190            13190
AES      boolean_gmw  0          25             10000            256         1               16858.098             17.56                1173          70         26.443           26.443          13190            13190
AES      boolean_gmw  0          25             10000            256         2               26314.626             27.60                1171          62         26.443           26.443          13190            13190
AES      boolean_gmw  0          25             10000            512         0               6674.064              7.77                 1930          177        52.224           52.224          13190            13190
AES      boolean_gmw  0          25             10000            512         1               28154.530             29.18                1937          61         52.224           52.224          13190            13190
AES      boolean_gmw  0          25             10000            512         2               43352.311             44.93                1939          43         52.224           52.224          13190            13190
AES      boolean_gmw  0          25             1000             1           0               6233.587              6.65                 419           224        0.761            0.761           13190            13190
AES      boolean_gmw  0          25             1000             1           1               7721.620              8.14                 421           176        0.761            0.761           13190            13190
AES      boolean_gmw  0          25             1000             1           2               8071.466              8.48                 417           219        0.761            0.761           13190            13190
AES      boolean_gmw  0          25             1000             128         0               6304.870              6.87                 799           221        13.553           13.553          13190            13190
AES      boolean_gmw  0          25             1000             128         1               12482.171             13.08                793           151        13.553           13.553          13190            13190
AES      boolean_gmw  0          25             1000             128         2               17380.071             18.30                798           109        13.553           13.553          13190            13190
AES      boolean_gmw  0          25             1000             256         0               7424.046              8.12                 1174          186        26.443           26.443          13190            13190
AES      boolean_gmw  0          25             1000             256         1               17589.695             18.28                1173          111        26.443           26.443          13190            13190
AES      boolean_gmw  0          25             1000             256         2               24380.146             25.04                1176          61         26.443           26.443          13190            13190
AES      boolean_gmw  0          25             1000             512         0               7106.384              8.07                 1933          226        52.224           52.224          13190            13190
AES      boolean_gmw  0          25             1000             512         1               30070.682             31.70                1937          62         52.224           52.224          13190            13190
AES      boolean_gmw  0          25             1000             512         2               38532.320             39.50                1941          49         52.224           52.224          13190            13190
AES      boolean_gmw  0          25             100              1           0               6217.905              6.63                 416           289        0.761            0.761           13190            13190
AES      boolean_gmw  0          25             100              1           1               8520.940              8.94                 418           157        0.761            0.761           13190            13190
AES      boolean_gmw  0          25             100              1           2               8360.899              8.78                 413           233        0.761            0.761           13190            13190
AES      boolean_gmw  0          25             100              128         0               8997.849              9.58                 790           179        13.553           13.553          13190            13190
AES      boolean_gmw  0          25             100              128         1               14430.819             15.02                791           124        13.553           13.553          13190            13190
AES      boolean_gmw  0          25             100              128         2               18136.305             18.99                801           78         13.553           13.553          13190            13190
AES      boolean_gmw  0          25             100              256         0               10639.234             11.37                1168          161        26.443           26.443          13190            13190
AES      boolean_gmw  0          25             100              256         1               17901.956             18.56                1171          70         26.443           26.443          13190            13190
AES      boolean_gmw  0          25             100              256         2               24976.396             25.84                1163          60         26.443           26.443          13190            13190
AES      boolean_gmw  0          25             100              512         0               12474.386             13.42                1936          148        52.224           52.224          13190            13190
AES      boolean_gmw  0          25             100              512         1               29298.023             30.24                1936          44         52.224           52.224          13190            13190
AES      boolean_gmw  0          25             100              512         2               44108.572             44.99                1942          29         52.224           52.224          13190            13190
AES      boolean_gmw  0          50             25000            1           0               10783.306             11.38                419           140        0.761            0.761           13190            13190
AES      boolean_gmw  0          50             25000            1           1               11843.955             12.44                419           124        0.761            0.761           13190            13190
AES      boolean_gmw  0          50             25000            1           2               14095.100             14.68                417           103        0.761            0.761           13190            13190
AES      boolean_gmw  0          50             25000            128         0               10875.207             11.62                795           122        13.553           13.553          13190            13190
AES      boolean_gmw  0          50             25000            128         1               13193.834             14.36                795           98         13.553           13.553          13190            13190
AES      boolean_gmw  0          50             25000            128         2               25632.445             27.38                795           78         13.553           13.553          13190            13190
AES      boolean_gmw  0          50             25000            256         0               11778.389             12.72                1167          118        26.443           26.443          13190            13190
AES      boolean_gmw  0          50             25000            256         1               22631.429             23.51                1170          94         26.443           26.443          13190            13190
AES      boolean_gmw  0          50             25000            256         2               47141.770             47.95                1173          41         26.443           26.443          13190            13190
AES      boolean_gmw  0          50             25000            512         0               12373.830             13.49                1931          124        52.224           52.224          13190            13190
AES      boolean_gmw  0          50             25000            512         1               45753.961             46.93                1935          29         52.224           52.224          13190            13190
AES      boolean_gmw  0          50             25000            512         2               75634.518             76.74                1941          17         52.224           52.224          13190            13190
AES      boolean_gmw  0          50             10000            1           0               10968.389             11.59                422           159        0.761            0.761           13190            13190
AES      boolean_gmw  0          50             10000            1           1               12000.583             13.05                414           137        0.761            0.761           13190            13190
AES      boolean_gmw  0          50             10000            1           2               12561.690             13.84                419           102        0.761            0.761           13190            13190
AES      boolean_gmw  0          50             10000            128         0               11832.399             12.58                800           140        13.553           13.553          13190            13190
AES      boolean_gmw  0          50             10000            128         1               22154.638             23.23                795           84         13.553           13.553          13190            13190
AES      boolean_gmw  0          50             10000            128         2               32253.480             33.41                798           53         13.553           13.553          13190            13190
AES      boolean_gmw  0          50             10000            256         0               11627.750             12.50                1171          103        26.443           26.443          13190            13190
