program             partysize  latencies(ms)  bandwidths(Mbs)  input_size  packetdrops(%)  runtime_internal(s)  Bytes Send  runtimeExternal(s)  RAMused(MB)  System Time (s)
Benchmarks/compare  3          75             10000            10000       10              0:00:47.218          13301811    48.50               153328       4.62
Benchmarks/compare  3          75             1000             10000       0               0:00:05.267          13301765    5.85                160964       4.51
Benchmarks/compare  3          75             1000             10000       1               0:00:12.185          13302029    12.78               168092       4.51
Benchmarks/compare  3          75             1000             10000       2               0:00:13.632          13301942    14.23               166312       4.59
Benchmarks/compare  3          75             1000             10000       5               0:00:22.986          13301977    23.50               166032       4.60
Benchmarks/compare  3          75             1000             10000       10              0:01:01.855          13302031    63.53               170688       4.69
Benchmarks/compare  3          75             100              10000       0               0:00:05.590          13302060    6.18                162664       4.48
Benchmarks/compare  3          75             100              10000       1               0:00:07.914          13301924    8.49                155832       4.46
Benchmarks/compare  3          75             100              10000       2               0:00:20.593          13301947    21.22               161932       4.52
Benchmarks/compare  3          75             100              10000       5               0:00:31.697          13301998    32.67               153096       4.54
Benchmarks/compare  3          75             100              10000       10              0:00:49.912          13301949    51.52               182700       4.59
